	Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	Organism	HGNC_symbol	Alias	Info
0	1	Per1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020893	ENSMUST00000166748|ENSMUST00000142392|ENSMUST00000021271|ENSMUST00000132462|ENSMUST00000102605|ENSMUST00000101004	NM_011065|NM_001159367	mouse	PER1		up
1	2	Egr3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000033730	ENSMUST00000223809|ENSMUST00000225200|ENSMUST00000223747|ENSMUST00000035908	NM_001289927|NM_018781|NM_001289925	mouse	EGR3		up
2	3	Nr4a1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023034	ENSMUST00000228985|ENSMUST00000230814|ENSMUST00000231153|ENSMUST00000023779	NM_010444	mouse	NR4A1		up
3	4	Nedd9	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021365	ENSMUST00000225053|ENSMUST00000224083|ENSMUST00000225297|ENSMUST00000224803|ENSMUST00000163623|ENSMUST00000021794	NM_017464|NM_001111324	mouse	NEDD9		up
4	5	Srf	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000015605	ENSMUST00000015749|ENSMUST00000233767|ENSMUST00000233797|ENSMUST00000233104	NM_020493	mouse	SRF		up
5	6	Dusp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000024190	ENSMUST00000146077|ENSMUST00000235532|ENSMUST00000025025|ENSMUST00000236661|ENSMUST00000011196|ENSMUST00000126178	NM_013642	mouse	DUSP1		up
6	7	Gadd45g	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021453	ENSMUST00000021903|ENSMUST00000132480	NM_011817	mouse	GADD45G		up
7	8	Btg2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000020423	ENSMUST00000020692	NM_007570	mouse	BTG2		up
8	9	Arc	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000022602	ENSMUST00000110009|ENSMUST00000023268	NM_001276684|NM_018790	mouse	ARC		up
9	10	Nfil3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000056749	ENSMUST00000071065	NM_017373	mouse	NFIL3		up
10	11	Lif	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034394	ENSMUST00000154927|ENSMUST00000066283|ENSMUST00000040750	NM_001039537|NM_008501	mouse	LIF		up
11	12	Fosb	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000003545	ENSMUST00000208446|ENSMUST00000208326|ENSMUST00000207334|ENSMUST00000208230|ENSMUST00000207716|ENSMUST00000003640|ENSMUST00000208505	NM_008036|NM_001347586	mouse	FOSB		up
12	13	Il17ra	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000002897	ENSMUST00000002976|ENSMUST00000204239|ENSMUST00000204078	NM_008359	mouse	IL17RA		up
13	14	Csrnp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032515	ENSMUST00000213936|ENSMUST00000215916|ENSMUST00000214058|ENSMUST00000216929|ENSMUST00000035101	NM_001357562|NM_001357560|NM_153287|NM_001357561	mouse	CSRNP1		up
14	15	Maff	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000042622	ENSMUST00000096350|ENSMUST00000229130|ENSMUST00000163691|ENSMUST00000229285	NM_001304832|NM_001304831|NM_010755|NM_001304830	mouse	MAFF		up
15	16	Dusp8	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037887	ENSMUST00000039926|ENSMUST00000143661	NM_008748	mouse	DUSP8		up
16	17	Amotl2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032531	ENSMUST00000142011|ENSMUST00000190047|ENSMUST00000138224|ENSMUST00000153911|ENSMUST00000035121|ENSMUST00000130602|ENSMUST00000145937|ENSMUST00000126616|ENSMUST00000153965|ENSMUST00000134483|ENSMUST00000136934|ENSMUST00000156485|ENSMUST00000155143|ENSMUST00000145913	NM_019764	mouse	AMOTL2		up
17	18	Filip1l	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000043336	ENSMUST00000099667|ENSMUST00000159414|ENSMUST00000159816	NM_001177871|NM_001040397	mouse	FILIP1L		up
18	19	Atf3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026628	ENSMUST00000195117|ENSMUST00000131854|ENSMUST00000027941	NM_007498	mouse	ATF3		up
19	20	Trib1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032501	ENSMUST00000067543|ENSMUST00000118228	NM_144549	mouse	TRIB1		up
20	21	Cited2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039910	ENSMUST00000218370|ENSMUST00000038107|ENSMUST00000219558	NM_010828	mouse	CITED2		up
21	22	Tent5b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046694	ENSMUST00000051676	NM_175307	mouse	TENT5B		up
22	23	Ptgs2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000032487	ENSMUST00000190784|ENSMUST00000035065	NM_011198	mouse	PTGS2		up
23	24	Egr2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037868	ENSMUST00000130933|ENSMUST00000146986|ENSMUST00000145936|ENSMUST00000048289|ENSMUST00000105438|ENSMUST00000127820|ENSMUST00000145754	NM_001373986|NM_001347458|NM_001373983|NM_010118|NM_001373985|NM_001373987	mouse	EGR2		up
24	25	Cfap43	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044948	ENSMUST00000159999|ENSMUST00000159204|ENSMUST00000162657|ENSMUST00000161832|ENSMUST00000160247|ENSMUST00000160970|ENSMUST00000026048	NM_027559	mouse	CFAP43		up
25	26	Rusc2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035969	ENSMUST00000146710|ENSMUST00000139198|ENSMUST00000131037|ENSMUST00000125393|ENSMUST00000150066|ENSMUST00000035645|ENSMUST00000144911|ENSMUST00000136360|ENSMUST00000152322|ENSMUST00000125399|ENSMUST00000131668|ENSMUST00000149556|ENSMUST00000173682|ENSMUST00000123447|ENSMUST00000098106|ENSMUST00000135216|ENSMUST00000149221|ENSMUST00000154754	NM_001369199|NM_001369198|NM_001037709|NM_199057	mouse	RUSC2		up
26	27	Irak2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000060477	ENSMUST00000059286|ENSMUST00000089023|ENSMUST00000113024|ENSMUST00000203381|ENSMUST00000204744|ENSMUST00000155554|ENSMUST00000204091|ENSMUST00000089022|ENSMUST00000143948	NM_001113553|NM_172161	mouse	IRAK2		up
27	28	Zyx	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029860	ENSMUST00000204480|ENSMUST00000203401|ENSMUST00000164375|ENSMUST00000203290|ENSMUST00000204270|ENSMUST00000203626|ENSMUST00000203652|ENSMUST00000203849|ENSMUST00000203329|ENSMUST00000070635|ENSMUST00000203846	NM_011777|NM_001289617|NM_001289618|NM_001289619	mouse	ZYX		up
28	29	Klf7	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025959	ENSMUST00000135075|ENSMUST00000055001|ENSMUST00000114086	NM_033563	mouse	KLF7		up
29	30	Jun	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000052684	ENSMUST00000107094	NM_010591	mouse	JUN		up
30	31	9330159F19Rik	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000004360	ENSMUST00000092627|ENSMUST00000213489|ENSMUST00000213490	NM_001162537	mouse	KIAA0408		up
31	32	Cyr61	25	all_sig_genes_35904237	PMID: 35904237	Ccn1	ENSMUST00000029846	NM_010516	mouse			up
32	33	Fhl2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000008136	ENSMUST00000187357|ENSMUST00000008280|ENSMUST00000185893	NM_001289533|NM_010212	mouse	FHL2		up
33	34	Klf6	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000000078	ENSMUST00000000080|ENSMUST00000222857|ENSMUST00000221734	NM_011803	mouse	KLF6		up
34	35	Gm44164	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000107756	ENSMUST00000203605		mouse			up
35	36	Cttnbp2nl	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000062127	ENSMUST00000098763|ENSMUST00000077548|ENSMUST00000197437|ENSMUST00000199002	NM_030249|NM_001163333|NM_001163332	mouse	CTTNBP2NL		up
36	37	Mafk	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000018143	ENSMUST00000151577|ENSMUST00000110836|ENSMUST00000018287	NM_010757	mouse	MAFK		up
37	38	Lmod1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000048096	ENSMUST00000059352	NM_053106	mouse	LMOD1		up
38	39	Ifrd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000001627	ENSMUST00000165027|ENSMUST00000169319|ENSMUST00000001672|ENSMUST00000170119|ENSMUST00000164354|ENSMUST00000171530|ENSMUST00000170752|ENSMUST00000164047|ENSMUST00000171553|ENSMUST00000169926	NM_013562	mouse	IFRD1		up
39	40	Arid5a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037447	ENSMUST00000192874|ENSMUST00000140218|ENSMUST00000145179|ENSMUST00000142319|ENSMUST00000097778|ENSMUST00000115032|ENSMUST00000116629|ENSMUST00000124280|ENSMUST00000115031|ENSMUST00000115029|ENSMUST00000147123|ENSMUST00000141121|ENSMUST00000137906|ENSMUST00000126413|ENSMUST00000150747	NM_001290726|NM_145996|NM_001172205|NM_001172206|NM_001290727	mouse	ARID5A		up
40	41	Bach1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000025612	ENSMUST00000151046|ENSMUST00000156958|ENSMUST00000026703	NM_007520	mouse	BACH1		up
41	42	Lmcd1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000057604	ENSMUST00000032376	NM_144799	mouse	LMCD1		up
42	43	Noct	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000023087	ENSMUST00000023849|ENSMUST00000144826|ENSMUST00000167780|ENSMUST00000193018	NM_009834	mouse	NOCT		up
43	44	Cnn2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000004665	ENSMUST00000004784|ENSMUST00000105374	NM_007725	mouse	CNN2		up
44	45	Dusp10	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039384	ENSMUST00000048655|ENSMUST00000139839	NM_022019	mouse	DUSP10		up
45	46	Serpine1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000037411	ENSMUST00000077523|ENSMUST00000199832|ENSMUST00000041388	NM_008871	mouse	SERPINE1		up
46	47	Neat1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000092274	ENSMUST00000173672|ENSMUST00000232969|ENSMUST00000174287|ENSMUST00000174829		mouse			up
47	48	Skil	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000027660	ENSMUST00000123532|ENSMUST00000118204|ENSMUST00000144756|ENSMUST00000117728|ENSMUST00000118470|ENSMUST00000029194	NM_001271772|NM_011386|NM_001039090|NM_001398560|NM_001398558	mouse	SKIL		up
48	49	Pdp1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000049225	ENSMUST00000108301|ENSMUST00000108302|ENSMUST00000108299|ENSMUST00000056050|ENSMUST00000108297|ENSMUST00000095144	NM_001098231|NM_001098230|NM_001290391|NM_001033453|NM_001290387	mouse	PDP1		up
49	50	Zfp281	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000041483	ENSMUST00000112046|ENSMUST00000047734	NM_001160251|NM_177643	mouse	ZNF281		up
50	51	Six4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000034460	ENSMUST00000175693|ENSMUST00000043208	NM_001409898|NM_001362272|NM_011382	mouse	SIX4		up
51	52	Gadd45b	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000015312	ENSMUST00000220246|ENSMUST00000219449|ENSMUST00000015456	NM_008655	mouse	GADD45B		up
52	53	Traf5	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000026637	ENSMUST00000194408|ENSMUST00000195815|ENSMUST00000193355	NM_011633	mouse	TRAF5		up
53	54	Plaur	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000046223	ENSMUST00000206693|ENSMUST00000206636|ENSMUST00000205877|ENSMUST00000002284|ENSMUST00000206514|ENSMUST00000206935	NM_011113	mouse	PLAUR		up
54	55	Zc3h12c	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000035164	ENSMUST00000213645|ENSMUST00000165519	NM_001162921|NM_001368810	mouse	ZC3H12C		up
55	56	Tuft1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005968	ENSMUST00000198456|ENSMUST00000196655|ENSMUST00000200407|ENSMUST00000196496|ENSMUST00000196733|ENSMUST00000006123	NM_001293728|NM_011656	mouse	TUFT1		up
56	57	Elmsan1	25	all_sig_genes_35904237	PMID: 35904237	Mideas	ENSMUST00000130038|ENSMUST00000220974|ENSMUST00000046266|ENSMUST00000137562|ENSMUST00000110294	NM_001163501|NM_001163502	mouse			up
57	58	Errfi1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028967	ENSMUST00000030811|ENSMUST00000073600|ENSMUST00000128640	NM_133753|NM_001356323	mouse	ERRFI1		up
58	59	Mthfd2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000005667	ENSMUST00000204472|ENSMUST00000139802|ENSMUST00000203847|ENSMUST00000203375|ENSMUST00000141193|ENSMUST00000141044|ENSMUST00000005810	NM_008638	mouse	MTHFD2		up
59	60	Mob3a	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000003348	ENSMUST00000218090|ENSMUST00000220138|ENSMUST00000003438|ENSMUST00000218439	NM_172457	mouse	MOB3A		up
60	61	Aff1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000029313	ENSMUST00000054979|ENSMUST00000153165|ENSMUST00000031256|ENSMUST00000126335|ENSMUST00000152145	NM_133919|NM_001408251|NM_001080798	mouse	AFF1		up
61	62	Nfkbia	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000021025	ENSMUST00000021413|ENSMUST00000219869	NM_010907	mouse	NFKBIA		up
62	63	Bhlhe41	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000030256	ENSMUST00000111703|ENSMUST00000203949|ENSMUST00000032386	NM_001271768|NM_024469	mouse	BHLHE41		up
63	64	Zfp36	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000044786	ENSMUST00000209061|ENSMUST00000051241	NM_011756	mouse	ZFP36		up
64	65	Plk3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028680	ENSMUST00000076859|ENSMUST00000126135|ENSMUST00000147730	NM_001313916|NM_013807	mouse	PLK3		up
65	66	Rab20	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000031504	ENSMUST00000033900	NM_011227	mouse	RAB20		up
66	67	Tgfb2	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039239	ENSMUST00000194960|ENSMUST00000191766|ENSMUST00000045288|ENSMUST00000195201|ENSMUST00000194593|ENSMUST00000193640	NM_001329107|NM_009367	mouse	TGFB2		up
67	68	Actg1	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000062825	ENSMUST00000131103|ENSMUST00000071555|ENSMUST00000062147|ENSMUST00000106215|ENSMUST00000128055|ENSMUST00000089616|ENSMUST00000156343|ENSMUST00000141406|ENSMUST00000144868	NM_009609|NM_001313923	mouse	ACTG1		up
68	69	Nr4a3	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000028341	ENSMUST00000030025|ENSMUST00000153369|ENSMUST00000154186|ENSMUST00000133539	NM_015743	mouse	NR4A3		up
69	70	Usp53	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000039701	ENSMUST00000197934|ENSMUST00000200188|ENSMUST00000199329|ENSMUST00000199923|ENSMUST00000198814|ENSMUST00000090379|ENSMUST00000197314|ENSMUST00000197358|ENSMUST00000197801|ENSMUST00000199401	NM_133857	mouse	USP53		up
70	71	Npas4	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000045903	ENSMUST00000056129|ENSMUST00000237881|ENSMUST00000237172	NM_153553	mouse	NPAS4		up
71	72	Gm17501	25	all_sig_genes_35904237	PMID: 35904237	ENSMUSG00000097183	ENSMUST00000181247|ENSMUST00000197148		mouse			up
