Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	LOC100048556	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 1.85194433509965e-08
2	Lrrn3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000036295	ENSMUST00000043884	NM_010733|NM_001271709|NM_001271708	LRRN3		DOWN, ttest: 4.07767991316628e-08
3	Evi2a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000078771	ENSMUST00000154415|ENSMUST00000103236|ENSMUST00000133148|ENSMUST00000146611	NM_001033711|NM_010161	EVI2A		DOWN, ttest: 5.38325671163772e-08
4	Edg5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000043895	ENSMUST00000214333|ENSMUST00000214218|ENSMUST00000216499|ENSMUST00000054197	NM_010333	S1PR2		DOWN, ttest: 9.77520185725743e-08
5	Lmcd1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000057604	ENSMUST00000032376	NM_144799	LMCD1		DOWN, ttest: 1.81587649656781e-07
6	Sstr2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000047904	ENSMUST00000146390|ENSMUST00000067591|ENSMUST00000106630	NM_001042606|NM_009217	SSTR2		DOWN, ttest: 1.93338329100006e-07
7	Tnfrsf11b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000063727	ENSMUST00000079772	NM_008764	TNFRSF11B		DOWN, ttest: 2.16684452298767e-07
8	2810459M11Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000026227	ENSMUST00000165824|ENSMUST00000027429	NM_001144992|NM_001144993	C2orf72		DOWN, ttest: 2.26613485872815e-07
9	C530044C16Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000107667	ENSMUST00000204275|ENSMUST00000205217				DOWN, ttest: 9.27341317685249e-07
10	Wnt7a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000030093	ENSMUST00000032180|ENSMUST00000132936|ENSMUST00000133092	NM_009527|NM_001363757	WNT7A		DOWN, ttest: 9.59769091144812e-07
11	Nfic	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000055053	ENSMUST00000221817|ENSMUST00000078185|ENSMUST00000105321|ENSMUST00000117966|ENSMUST00000140916|ENSMUST00000020461|ENSMUST00000152670	NM_008688|NM_026756	NFIC		DOWN, ttest: 1.21327092443529e-06
12	LOC100045343	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 1.24068338350802e-06
13	Phlda1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020205	ENSMUST00000164773|ENSMUST00000186359	NM_009344	PHLDA1		DOWN, ttest: 1.24699110466992e-06
14	Gpr84	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000063234	ENSMUST00000079824	NM_030720			DOWN, ttest: 1.48060567609998e-06
15	Gpr123	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025475	ENSMUST00000137584|ENSMUST00000026548|ENSMUST00000129454	NM_177469	ADGRA1		DOWN, ttest: 1.52995313049887e-06
16	Dbp	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000059824	ENSMUST00000211748|ENSMUST00000210120|ENSMUST00000211513|ENSMUST00000080885|ENSMUST00000211357	NM_016974	DBP		DOWN, ttest: 1.89252093324239e-06
17	Sox21	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000061517	ENSMUST00000170662	NM_177753	SOX21		DOWN, ttest: 1.9189635323379e-06
18	Tmem100	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000069763	ENSMUST00000092788	NM_026433	TMEM100		DOWN, ttest: 2.04480408042182e-06
19	Kcna6	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000038077	ENSMUST00000185333|ENSMUST00000112242|ENSMUST00000128137|ENSMUST00000040751	NM_013568|NM_001410075|NM_001410072	KCNA6		DOWN, ttest: 2.08640667432312e-06
20	LOC100048436	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 2.15758482285617e-06
21	Pdzrn3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000035357	ENSMUST00000239140|ENSMUST00000144505|ENSMUST00000124884|ENSMUST00000075994|ENSMUST00000151175	NM_018884	PDZRN3		DOWN, ttest: 2.24417728602759e-06
22	Egr2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000037868	ENSMUST00000145936|ENSMUST00000145754|ENSMUST00000105438|ENSMUST00000146986|ENSMUST00000130933|ENSMUST00000048289|ENSMUST00000127820	NM_001373986|NM_001373987|NM_010118|NM_001373985|NM_001373983|NM_001347458	EGR2		DOWN, ttest: 2.30586912196608e-06
23	Cdc42ep2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045664	ENSMUST00000055458	NM_026772	CDC42EP2		DOWN, ttest: 2.76538054079693e-06
24	Ddit4l	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046818	ENSMUST00000167564|ENSMUST00000053855|ENSMUST00000165845	NM_030143	DDIT4L		DOWN, ttest: 3.0294653077785e-06
25	Itga2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000015533	ENSMUST00000056117|ENSMUST00000224204	NM_008396	ITGA2		DOWN, ttest: 3.0644963803612e-06
26	Asphd2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000029348	ENSMUST00000196256|ENSMUST00000198357|ENSMUST00000199095|ENSMUST00000199906|ENSMUST00000197585|ENSMUST00000031291|ENSMUST00000200227	NM_001357015|NM_001357011|NM_001357013|NM_028386|NM_001357014|NM_001357012	ASPHD2		DOWN, ttest: 3.1432733486692e-06
27	Rab32	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000019832	ENSMUST00000019974|ENSMUST00000220018	NM_026405			DOWN, ttest: 3.22225477880598e-06
28	Ccl3	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000000982	ENSMUST00000001008	NM_011337	CCL3L1		DOWN, ttest: 3.3742847659518e-06
29	Sertad4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000016262	ENSMUST00000125391|ENSMUST00000016406|ENSMUST00000155503|ENSMUST00000155579	NM_001177794|NM_198247	SERTAD4		DOWN, ttest: 3.59446860327817e-06
30	Asb2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021200	ENSMUST00000127447|ENSMUST00000149431|ENSMUST00000021617|ENSMUST00000135694	NM_001374764|NM_023049	ASB2		DOWN, ttest: 4.06502556550464e-06
31	Hey1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040289	ENSMUST00000192102|ENSMUST00000042412|ENSMUST00000194299|ENSMUST00000192550	NM_010423	HEY1		DOWN, ttest: 5.16651374818382e-06
32	Fam102a	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000039157	ENSMUST00000048375|ENSMUST00000147723|ENSMUST00000133366|ENSMUST00000133512|ENSMUST00000136816	NM_153560	FAM102A		DOWN, ttest: 5.2446257293632e-06
33	LOC100048556	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 5.46415256639841e-06
34	Ccl4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000018930	ENSMUST00000019074	NM_013652	CCL4L2		DOWN, ttest: 5.54133217450565e-06
35	Lhfpl2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000045312	ENSMUST00000054274|ENSMUST00000131595|ENSMUST00000121618|ENSMUST00000221096|ENSMUST00000144838|ENSMUST00000120051|ENSMUST00000118195|ENSMUST00000223423|ENSMUST00000156071	NM_172589	LHFPL2		DOWN, ttest: 5.752222772842299e-06
36	Gpr84	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000063234	ENSMUST00000079824	NM_030720			DOWN, ttest: 6.12810510894693e-06
37	Ch25h	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000050370	ENSMUST00000050562	NM_009890	CH25H		DOWN, ttest: 6.25885703734312e-06
