Index	Gene_name	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	LOC100048556	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex						Regulation: DOWN|Probe.Set:ILMN_3161805|Identifier:XM_001480891.1|FirstOfLocuslink:XP_001480941.1|FirstOfName:LOC100048556|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:7.95722099550348e-13|ANOVA.CELL:2.21520502159449e-31|ANOVA.INT:4.36141138686987e-14|FDR_ANOVA.TREAT:2.80470780340746e-10|FDR_ANOVA.CELL:2.9291201794703404e-30|FDR_ANOVA.INT:3.87276556494864e-11|TTEST.ASTRO.DEX:1.8519443350996498e-08|TTEST.ASTRO.ALD:0.00011747227590483101|TTEST.ASTRO.DHT:0.839787752897|TTEST.ASTRO.PRG:0.349777608379018|TTEST.ASTRO.ESR:0.000890099698540739|TTEST.NEURO.DEX:0.0343257269371496|TTEST.NEURO.ALD:0.21468289937401103|TTEST.NEURO.DHT:0.08540953243828339|TTEST.NEURO.PRG:0.25613591174737|TTEST.NEURO.ESR:0.545664394765348|FDR_TTEST.ASTRO.DEX:9.501297525432381e-05|FDR_TTEST.ASTRO.ALD:0.0737666701916271|FDR_TTEST.ASTRO.DHT:0.9864939376044861|FDR_TTEST.ASTRO.PRG:0.9206682075449211|FDR_TTEST.ASTRO.ESR:0.867316536877425|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.7610625|FOLD.ASTRO.ALD:-0.6042239583333341|FOLD.ASTRO.DHT:-0.030367187500001298|FOLD.ASTRO.PRG:-0.157|FOLD.ASTRO.ESR:-0.250557291666667|FOLD.NEURO.DEX:0.12905729166666702|FOLD.NEURO.ALD:0.105106770833333|FOLD.NEURO.DHT:0.10150260416666701|FOLD.NEURO.PRG:0.115997395833333|FOLD.NEURO.ESR:-0.041458333333332896
2	Lrrn3	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000036295	ENSMUST00000043884	NM_010733|NM_001271709|NM_001271708	LRRN3		Regulation: DOWN|Probe.Set:ILMN_2630078|Identifier:NM_010733.2|FirstOfLocuslink:NP_034863.1|FirstOfName:Lrrn3|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:9.93465018723804e-08|ANOVA.CELL:1.83162040579183e-42|ANOVA.INT:8.81642863630559e-10|FDR_ANOVA.TREAT:1.2008443396479801e-05|FDR_ANOVA.CELL:1.09692919088238e-40|FDR_ANOVA.INT:3.39241479877312e-07|TTEST.ASTRO.DEX:4.07767991316628e-08|TTEST.ASTRO.ALD:1.5189605991244299e-06|TTEST.ASTRO.DHT:0.014868469304392399|TTEST.ASTRO.PRG:0.0101605781775152|TTEST.ASTRO.ESR:0.00163114341662684|TTEST.NEURO.DEX:0.263594055536982|TTEST.NEURO.ALD:0.798332849617972|TTEST.NEURO.DHT:0.698742710640858|TTEST.NEURO.PRG:0.8055482975718611|TTEST.NEURO.ESR:0.9224364853599961|FDR_TTEST.ASTRO.DEX:0.00011767674519408701|FDR_TTEST.ASTRO.ALD:0.00583713243733652|FDR_TTEST.ASTRO.DHT:0.8657461559407491|FDR_TTEST.ASTRO.PRG:0.7870788407854991|FDR_TTEST.ASTRO.ESR:0.867316536877425|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.03719010416667|FOLD.ASTRO.ALD:-0.6014348958333341|FOLD.ASTRO.DHT:-0.171791666666667|FOLD.ASTRO.PRG:-0.265218750000001|FOLD.ASTRO.ESR:-0.21784114583333303|FOLD.NEURO.DEX:0.1062109375|FOLD.NEURO.ALD:0.020971354166667|FOLD.NEURO.DHT:0.0337994791666656|FOLD.NEURO.PRG:-0.0241354166666667|FOLD.NEURO.ESR:0.0107369791666656
3	Evi2a	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000078771	ENSMUST00000154415|ENSMUST00000103236|ENSMUST00000133148|ENSMUST00000146611	NM_001033711|NM_010161	EVI2A	Evi-2|Evi2	Regulation: DOWN|Probe.Set:ILMN_3153285|Identifier:NM_010161.3|FirstOfLocuslink:NP_034291.1|FirstOfName:Evi2a|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.10600965449289e-10|ANOVA.CELL:1.77262095870632e-22|ANOVA.INT:4.48498702485251e-06|FDR_ANOVA.TREAT:2.5033769503213003e-08|FDR_ANOVA.CELL:1.11056987988203e-21|FDR_ANOVA.INT:0.0006294522519317321|TTEST.ASTRO.DEX:0.000299726677281879|TTEST.ASTRO.ALD:0.27628286423048604|TTEST.ASTRO.DHT:0.0860433143963298|TTEST.ASTRO.PRG:0.656399086886655|TTEST.ASTRO.ESR:0.341801446921466|TTEST.NEURO.DEX:0.026851011560282002|TTEST.NEURO.ALD:0.298832424293322|TTEST.NEURO.DHT:0.0632568112407183|TTEST.NEURO.PRG:0.6632575505667591|TTEST.NEURO.ESR:0.9326551333357711|FDR_TTEST.ASTRO.DEX:0.022650703104441002|FDR_TTEST.ASTRO.ALD:0.8320561552947081|FDR_TTEST.ASTRO.DHT:0.8891786276787611|FDR_TTEST.ASTRO.PRG:0.9664079848378481|FDR_TTEST.ASTRO.ESR:0.9574022399005641|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.8984505208333331|FOLD.ASTRO.ALD:-0.137223958333333|FOLD.ASTRO.DHT:0.1861484375|FOLD.ASTRO.PRG:-0.0513411458333337|FOLD.ASTRO.ESR:0.101158854166666|FOLD.NEURO.DEX:-0.13559375|FOLD.NEURO.ALD:-0.0799687499999999|FOLD.NEURO.DHT:0.226625|FOLD.NEURO.PRG:-0.0246666666666675|FOLD.NEURO.ESR:0.0115963541666666
4	Edg5	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000043895	ENSMUST00000214333|ENSMUST00000214218|ENSMUST00000216499|ENSMUST00000054197	NM_010333	S1PR2		Regulation: DOWN|Probe.Set:ILMN_2773936|Identifier:NM_010333|FirstOfLocuslink:None|FirstOfName:Edg5|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.05878613916024e-14|ANOVA.CELL:8.82799484057724e-32|ANOVA.INT:4.03559142456754e-11|FDR_ANOVA.TREAT:4.7929795283906995e-12|FDR_ANOVA.CELL:1.2153364155301501e-30|FDR_ANOVA.INT:1.96102562785546e-08|TTEST.ASTRO.DEX:9.77520185725743e-08|TTEST.ASTRO.ALD:0.0119927823075566|TTEST.ASTRO.DHT:0.0403278581848337|TTEST.ASTRO.PRG:0.394221710375014|TTEST.ASTRO.ESR:0.8435912810700791|TTEST.NEURO.DEX:0.45688508385290405|TTEST.NEURO.ALD:0.47154194881931705|TTEST.NEURO.DHT:0.20395383488169302|TTEST.NEURO.PRG:0.8755507760992721|TTEST.NEURO.ESR:0.7068200424348291|FDR_TTEST.ASTRO.DEX:0.00016314657029046402|FDR_TTEST.ASTRO.ALD:0.46316606860487|FDR_TTEST.ASTRO.DHT:0.8845768646342911|FDR_TTEST.ASTRO.PRG:0.92917196042784|FDR_TTEST.ASTRO.ESR:0.992771216718578|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.17994791666667|FOLD.ASTRO.ALD:-0.253671875|FOLD.ASTRO.DHT:0.1207109375|FOLD.ASTRO.PRG:-0.0774583333333325|FOLD.ASTRO.ESR:-0.00850520833333235|FOLD.NEURO.DEX:-0.105791666666669|FOLD.NEURO.ALD:-0.0747864583333335|FOLD.NEURO.DHT:0.15821614583333202|FOLD.NEURO.PRG:-0.017578125|FOLD.NEURO.ESR:0.0387031249999996
5	Lmcd1	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000057604	ENSMUST00000032376	NM_144799	LMCD1	dyxin	Regulation: DOWN|Probe.Set:ILMN_2628940|Identifier:NM_144799.1|FirstOfLocuslink:NP_659048.1|FirstOfName:Lmcd1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.97180390528768e-08|ANOVA.CELL:2.23527401779036e-19|ANOVA.INT:0.000300719241664263|FDR_ANOVA.TREAT:2.8541088878606097e-06|FDR_ANOVA.CELL:1.15345934842928e-18|FDR_ANOVA.INT:0.023729054376786|TTEST.ASTRO.DEX:3.97503373898491e-05|TTEST.ASTRO.ALD:0.00304880018459541|TTEST.ASTRO.DHT:0.509290351103693|TTEST.ASTRO.PRG:0.9601931406381421|TTEST.ASTRO.ESR:0.14570865726498802|TTEST.NEURO.DEX:0.00214270627935498|TTEST.NEURO.ALD:0.22467133143571|TTEST.NEURO.DHT:0.10526039157680701|TTEST.NEURO.PRG:0.47169352391818503|TTEST.NEURO.ESR:0.12225356773227601|FDR_TTEST.ASTRO.DEX:0.0067417814236171505|FDR_TTEST.ASTRO.ALD:0.294808761999361|FDR_TTEST.ASTRO.DHT:0.9580947727374011|FDR_TTEST.ASTRO.PRG:0.9970863789449381|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.7066951410209771|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.5610442708333331|FOLD.ASTRO.ALD:-0.21426822916666702|FOLD.ASTRO.DHT:0.0769374999999997|FOLD.ASTRO.PRG:0.00454427083333364|FOLD.ASTRO.ESR:0.11163020833333301|FOLD.NEURO.DEX:-0.28729947916666704|FOLD.NEURO.ALD:-0.09999479166666701|FOLD.NEURO.DHT:-0.14025|FOLD.NEURO.PRG:-0.0620781250000011|FOLD.NEURO.ESR:-0.1481484375
6	Sstr2	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000047904	ENSMUST00000146390|ENSMUST00000067591|ENSMUST00000106630	NM_001042606|NM_009217	SSTR2	SSTR-2|sst2|Smstr2|Smstr-2	Regulation: DOWN|Probe.Set:ILMN_1229577|Identifier:NM_009217.1|FirstOfLocuslink:None|FirstOfName:Sstr2|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:8.65634008072216e-15|ANOVA.CELL:3.00809776849668e-15|ANOVA.INT:4.49915468354296e-16|FDR_ANOVA.TREAT:4.03735198876025e-12|FDR_ANOVA.CELL:1.22388112414639e-14|FDR_ANOVA.INT:5.770665787719791e-13|TTEST.ASTRO.DEX:1.93338329100006e-07|TTEST.ASTRO.ALD:3.3863636264106205e-05|TTEST.ASTRO.DHT:0.502488919853475|TTEST.ASTRO.PRG:0.00183175505296755|TTEST.ASTRO.ESR:0.653110861132255|TTEST.NEURO.DEX:0.26648481139830105|TTEST.NEURO.ALD:0.68074931739597|TTEST.NEURO.DHT:0.9092902840794641|TTEST.NEURO.PRG:0.39135454833672|TTEST.NEURO.ESR:0.584913027074585|FDR_TTEST.ASTRO.DEX:0.00025138358382958704|FDR_TTEST.ASTRO.ALD:0.033268500869337005|FDR_TTEST.ASTRO.DHT:0.95681980227285|FDR_TTEST.ASTRO.PRG:0.6128946218530691|FDR_TTEST.ASTRO.ESR:0.9821450922608341|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.2677682291666699|FOLD.ASTRO.ALD:-0.550098958333333|FOLD.ASTRO.DHT:-0.0450911458333341|FOLD.ASTRO.PRG:-0.291989583333335|FOLD.ASTRO.ESR:-0.0272005208333344|FOLD.NEURO.DEX:0.0746718749999999|FOLD.NEURO.ALD:-0.0356979166666669|FOLD.NEURO.DHT:-0.0134453125|FOLD.NEURO.PRG:-0.0528958333333325|FOLD.NEURO.ESR:0.0344687500000003
7	Tnfrsf11b	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000063727	ENSMUST00000079772	NM_008764	TNFRSF11B	osteoclastogenesis inhibitory factor|OCIF|OPG|Opg|TR1	Regulation: DOWN|Probe.Set:ILMN_2513826|Identifier:NM_008764.3|FirstOfLocuslink:NP_032790.3|FirstOfName:Tnfrsf11b|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.6370636222675298e-12|ANOVA.CELL:6.925475782791901e-30|ANOVA.INT:6.44588861375006e-13|FDR_ANOVA.TREAT:8.33998463661515e-10|FDR_ANOVA.CELL:7.899627440578879e-29|FDR_ANOVA.INT:4.4422755350939597e-10|TTEST.ASTRO.DEX:2.1668445229876698e-07|TTEST.ASTRO.ALD:0.00023718822970135602|TTEST.ASTRO.DHT:0.139251123377363|TTEST.ASTRO.PRG:0.20745538525154403|TTEST.ASTRO.ESR:0.449911955539178|TTEST.NEURO.DEX:0.9402931921060991|TTEST.NEURO.ALD:0.31398774367055204|TTEST.NEURO.DHT:0.169265183384532|TTEST.NEURO.PRG:0.37581215032516|TTEST.NEURO.ESR:0.658356073994882|FDR_TTEST.ASTRO.DEX:0.000256543279498546|FDR_TTEST.ASTRO.ALD:0.0979605828978428|FDR_TTEST.ASTRO.DHT:0.9058013131794971|FDR_TTEST.ASTRO.PRG:0.8990558273072411|FDR_TTEST.ASTRO.ESR:0.971248005964312|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.47788541666667|FOLD.ASTRO.ALD:-0.665815104166667|FOLD.ASTRO.DHT:0.0864765624999997|FOLD.ASTRO.PRG:-0.11678906250000101|FOLD.ASTRO.ESR:-0.11443750000000101|FOLD.NEURO.DEX:-0.00823437499999979|FOLD.NEURO.ALD:-0.0719739583333334|FOLD.NEURO.DHT:-0.0926874999999994|FOLD.NEURO.PRG:-0.06383854166666669|FOLD.NEURO.ESR:-0.0471380208333336
8	2810459M11Rik	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000026227	ENSMUST00000165824|ENSMUST00000027429	NM_001144992|NM_001144993	C2orf72		Regulation: DOWN|Probe.Set:ILMN_2676765|Identifier:XM_484890|FirstOfLocuslink:None|FirstOfName:2810459M11Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.3498155154258004e-18|ANOVA.CELL:1.1488366741318602e-32|ANOVA.INT:5.05239670050382e-08|FDR_ANOVA.TREAT:2.08654580017829e-15|FDR_ANOVA.CELL:1.7460956086690102e-31|FDR_ANOVA.INT:1.2150487773388702e-05|TTEST.ASTRO.DEX:2.26613485872815e-07|TTEST.ASTRO.ALD:0.005383086399088841|TTEST.ASTRO.DHT:0.845112269430471|TTEST.ASTRO.PRG:0.441953794892027|TTEST.ASTRO.ESR:0.376256383574437|TTEST.NEURO.DEX:0.0032696930792671|TTEST.NEURO.ALD:0.173440456490522|TTEST.NEURO.DHT:0.631475050905401|TTEST.NEURO.PRG:0.891904666074886|TTEST.NEURO.ESR:0.5909146030570811|FDR_TTEST.ASTRO.DEX:0.000261591277417284|FDR_TTEST.ASTRO.ALD:0.36036659188590503|FDR_TTEST.ASTRO.DHT:0.9871554740764981|FDR_TTEST.ASTRO.PRG:0.9356613720928231|FDR_TTEST.ASTRO.ESR:0.9637674667559821|FDR_TTEST.NEURO.DEX:0.7782206610416461|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.4294609375|FOLD.ASTRO.ALD:-0.3701328125|FOLD.ASTRO.DHT:0.018526041666667898|FOLD.ASTRO.PRG:-0.0706718749999986|FOLD.ASTRO.ESR:0.0679322916666667|FOLD.NEURO.DEX:-0.565359375|FOLD.NEURO.ALD:-0.14479947916666602|FOLD.NEURO.DHT:0.049130208333332696|FOLD.NEURO.PRG:0.0130755208333326|FOLD.NEURO.ESR:-0.049093749999999006
9	C530044C16Rik	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000107667	ENSMUST00000204275|ENSMUST00000205217				Regulation: DOWN|Probe.Set:ILMN_1248742|Identifier:None|FirstOfLocuslink:None|FirstOfName:C530044C16Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:3.19228380658606e-14|ANOVA.CELL:6.60745001397923e-41|ANOVA.INT:1.66461583074904e-13|FDR_ANOVA.TREAT:1.3775748830402298e-11|FDR_ANOVA.CELL:2.99403726148652e-39|FDR_ANOVA.INT:1.26003231752469e-10|TTEST.ASTRO.DEX:9.27341317685249e-07|TTEST.ASTRO.ALD:0.00014125909168929502|TTEST.ASTRO.DHT:0.662762140749604|TTEST.ASTRO.PRG:0.0690957541444918|TTEST.ASTRO.ESR:0.772426020510934|TTEST.NEURO.DEX:0.865557800749538|TTEST.NEURO.ALD:0.526565145248573|TTEST.NEURO.DHT:0.539242935060661|TTEST.NEURO.PRG:0.145348716891531|TTEST.NEURO.ESR:0.37124956279736704|FDR_TTEST.ASTRO.DEX:0.00061385231071908|FDR_TTEST.ASTRO.ALD:0.0764703514453953|FDR_TTEST.ASTRO.DHT:0.9733876239058751|FDR_TTEST.ASTRO.PRG:0.85703128377737|FDR_TTEST.ASTRO.ESR:0.988803998506053|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.7621562499999999|FOLD.ASTRO.ALD:-0.926119791666666|FOLD.ASTRO.DHT:-0.0452812500000004|FOLD.ASTRO.PRG:-0.15281770833333203|FOLD.ASTRO.ESR:0.0275885416666668|FOLD.NEURO.DEX:0.022283854166667002|FOLD.NEURO.ALD:0.0545234374999994|FOLD.NEURO.DHT:0.0797838541666671|FOLD.NEURO.PRG:0.11685416666666601|FOLD.NEURO.ESR:0.10521354166666601
10	Wnt7a	2_astrocytes_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000030093	ENSMUST00000032180|ENSMUST00000132936|ENSMUST00000133092	NM_009527|NM_001363757	WNT7A	Wnt-7a|tw	Regulation: DOWN|Probe.Set:ILMN_1248290|Identifier:NM_009527.3|FirstOfLocuslink:NP_033553.2|FirstOfName:Wnt7a|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:4.25518826872826e-18|ANOVA.CELL:6.06577594523485e-25|ANOVA.INT:1.61673834894944e-13|FDR_ANOVA.TREAT:3.63850116889368e-15|FDR_ANOVA.CELL:4.540874489222989e-24|FDR_ANOVA.INT:1.24418794207319e-10|TTEST.ASTRO.DEX:9.59769091144812e-07|TTEST.ASTRO.ALD:0.000205657037597108|TTEST.ASTRO.DHT:0.6370972286313|TTEST.ASTRO.PRG:0.354525201194943|TTEST.ASTRO.ESR:0.10406116063948301|TTEST.NEURO.DEX:0.0740207217493393|TTEST.NEURO.ALD:0.644957966144561|TTEST.NEURO.DHT:0.9813639469047941|TTEST.NEURO.PRG:0.9087470961970721|TTEST.NEURO.ESR:0.82104220456277|FDR_TTEST.ASTRO.DEX:0.000615505250201675|FDR_TTEST.ASTRO.ALD:0.0902471691481382|FDR_TTEST.ASTRO.DHT:0.9704877304706041|FDR_TTEST.ASTRO.PRG:0.9213438717925481|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.97471875|FOLD.ASTRO.ALD:-0.6535130208333341|FOLD.ASTRO.DHT:0.0343151041666676|FOLD.ASTRO.PRG:-0.0842239583333324|FOLD.ASTRO.ESR:0.0957916666666669|FOLD.NEURO.DEX:-0.347343749999999|FOLD.NEURO.ALD:-0.0723749999999992|FOLD.NEURO.DHT:-0.0036692708333330203|FOLD.NEURO.PRG:0.0176692708333341|FOLD.NEURO.ESR:-0.034513020833332006
