	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
0	1	Slc10a6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000029321	ENSMUST00000031263	NM_029415	SLC10A6		UP, ttest: 1.62135153431655e-09
1	2	Mapk4	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024558	ENSMUST00000160601|ENSMUST00000162863|ENSMUST00000091851|ENSMUST00000159162	NM_172632|NM_001360936	MAPK4		UP, ttest: 1.65691189862528e-09
2	3	Slc25a33	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000028982	ENSMUST00000105686	NM_027460	SLC25A33		UP, ttest: 3.29131844032893e-09
3	4	Acsl3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032883	ENSMUST00000035779|ENSMUST00000142704|ENSMUST00000134566|ENSMUST00000154777|ENSMUST00000148608|ENSMUST00000132997|ENSMUST00000135642	NM_028817|NM_001136222|NM_001033606	ACSL3		UP, ttest: 3.33740029237052e-09
4	5	Fkbp5	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024222	ENSMUST00000232939|ENSMUST00000233102|ENSMUST00000233917|ENSMUST00000153744|ENSMUST00000147716|ENSMUST00000233307|ENSMUST00000143685|ENSMUST00000079413|ENSMUST00000177939|ENSMUST00000233747|ENSMUST00000233870|ENSMUST00000233291|ENSMUST00000114792|ENSMUST00000232690|ENSMUST00000233372	NM_010220	FKBP5		UP, ttest: 9.14161669839965e-09
5	6	Gjb6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000040055	ENSMUST00000160703|ENSMUST00000039380|ENSMUST00000224544|ENSMUST00000162931	NM_001271663|NM_001010937	GJB6		UP, ttest: 1.21434431166743e-08
6	7	Prodh	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000003526	ENSMUST00000139861|ENSMUST00000126087|ENSMUST00000232554|ENSMUST00000232384|ENSMUST00000132241|ENSMUST00000003620|ENSMUST00000123969|ENSMUST00000232502|ENSMUST00000141635|ENSMUST00000136776	NM_011172	PRODH		UP, ttest: 1.45481238538383e-08
7	8	Mfsd2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000028655	ENSMUST00000030408|ENSMUST00000152308|ENSMUST00000127047|ENSMUST00000138964	NM_029662	MFSD2A		UP, ttest: 1.61052748583196e-08
8	9	Amica1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000048534	ENSMUST00000215266|ENSMUST00000215098|ENSMUST00000216333|ENSMUST00000050020|ENSMUST00000217074|ENSMUST00000215880|ENSMUST00000216426	NM_001005421			UP, ttest: 2.91990222324017e-08
9	10	Bcat1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000030268	ENSMUST00000149769|ENSMUST00000154611|ENSMUST00000048252|ENSMUST00000032402|ENSMUST00000123930|ENSMUST00000136819|ENSMUST00000111742|ENSMUST00000204138|ENSMUST00000145911|ENSMUST00000155693	NM_001024468|NM_007532	BCAT1		UP, ttest: 3.05105499144093e-08
