Index	Gene_name	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	C030009J22Rik	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex						Regulation: UP|Probe.Set:ILMN_2463583|Identifier:None|FirstOfLocuslink:None|FirstOfName:C030009J22Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:6.64614180914943e-25|ANOVA.CELL:7.950198186175049e-44|ANOVA.INT:8.176591423396268e-12|FDR_ANOVA.TREAT:2.0458596793044396e-21|FDR_ANOVA.CELL:6.11820751747411e-42|FDR_ANOVA.INT:4.60421868760853e-09|TTEST.ASTRO.DEX:4.0981494389205595e-07|TTEST.ASTRO.ALD:3.79558618946805e-06|TTEST.ASTRO.DHT:0.8711076674761221|TTEST.ASTRO.PRG:0.0292215365121034|TTEST.ASTRO.ESR:0.631566273082497|TTEST.NEURO.DEX:5.19939702076007e-07|TTEST.NEURO.ALD:0.0277473224881805|TTEST.NEURO.DHT:0.839759005764492|TTEST.NEURO.PRG:0.0434236678143293|TTEST.NEURO.ESR:0.104703967717618|FDR_TTEST.ASTRO.DEX:0.00036509502648846904|FDR_TTEST.ASTRO.ALD:0.00922407351118408|FDR_TTEST.ASTRO.DHT:0.9893414628399291|FDR_TTEST.ASTRO.PRG:0.845270986155032|FDR_TTEST.ASTRO.ESR:0.981541189201465|FDR_TTEST.NEURO.DEX:0.0240076958036575|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.54903125|FOLD.ASTRO.ALD:0.8372109375000001|FOLD.ASTRO.DHT:0.010385416666665|FOLD.ASTRO.PRG:0.207835937499999|FOLD.ASTRO.ESR:-0.0293593750000021|FOLD.NEURO.DEX:0.8667786458333341|FOLD.NEURO.ALD:0.13539843750000102|FOLD.NEURO.DHT:0.0187812500000017|FOLD.NEURO.PRG:0.155546875000001|FOLD.NEURO.ESR:0.0875937499999999
2	Lcn2	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000026822	ENSMUST00000192241|ENSMUST00000147219|ENSMUST00000155830|ENSMUST00000136509|ENSMUST00000144569|ENSMUST00000050785	NM_008491	LCN2		Regulation: UP|Probe.Set:ILMN_2712075|Identifier:NM_008491.1|FirstOfLocuslink:NP_032517.1|FirstOfName:Lcn2|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.84184369698828e-19|ANOVA.CELL:4.24538082748081e-46|ANOVA.INT:1.28458800483791e-09|FDR_ANOVA.TREAT:2.0248878777318298e-16|FDR_ANOVA.CELL:5.21346314702391e-44|FDR_ANOVA.INT:4.7075052805861697e-07|TTEST.ASTRO.DEX:6.48955448221624e-06|TTEST.ASTRO.ALD:0.00833888662676617|TTEST.ASTRO.DHT:0.21000219507935|TTEST.ASTRO.PRG:0.68773421497815|TTEST.ASTRO.ESR:0.547809550848465|TTEST.NEURO.DEX:1.29809768339856e-06|TTEST.NEURO.ALD:0.9859850718842561|TTEST.NEURO.DHT:0.18849618199282|TTEST.NEURO.PRG:0.44571806092402805|TTEST.NEURO.ESR:0.47447841622413206|FDR_TTEST.ASTRO.DEX:0.00205753237625778|FDR_TTEST.ASTRO.ALD:0.415239414281092|FDR_TTEST.ASTRO.DHT:0.913268928121404|FDR_TTEST.ASTRO.PRG:0.96834665690294|FDR_TTEST.ASTRO.ESR:0.975594953524301|FDR_TTEST.NEURO.DEX:0.0299691812166226|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:2.18923697916667|FOLD.ASTRO.ALD:0.6895859375000001|FOLD.ASTRO.DHT:0.23995312500000102|FOLD.ASTRO.PRG:0.0907005208333338|FOLD.ASTRO.ESR:-0.11883333333333301|FOLD.NEURO.DEX:0.8122109375000011|FOLD.NEURO.ALD:0.00108333333333377|FOLD.NEURO.DHT:0.118875|FOLD.NEURO.PRG:-0.0460338541666667|FOLD.NEURO.ESR:-0.040463541666667005
3	Nde1	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000022678	ENSMUST00000133249|ENSMUST00000132316|ENSMUST00000149232|ENSMUST00000127801|ENSMUST00000115795|ENSMUST00000117958|ENSMUST00000023359|ENSMUST00000156041	NM_001285504|NM_001114085|NM_001285503|NM_023317	NDE1	2810027M15Rik|mNudE	Regulation: UP|Probe.Set:ILMN_2945588|Identifier:NM_023317.1|FirstOfLocuslink:NP_075806.1|FirstOfName:Nde1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:9.94368575414094e-06|ANOVA.CELL:6.86323370098029e-31|ANOVA.INT:0.48852222216074703|FDR_ANOVA.TREAT:0.0007502283431563791|FDR_ANOVA.CELL:8.58815590539469e-30|FDR_ANOVA.INT:0.9999978870935041|TTEST.ASTRO.DEX:0.008005181135971321|TTEST.ASTRO.ALD:0.13292057347477101|TTEST.ASTRO.DHT:0.680579950146845|TTEST.ASTRO.PRG:0.508076039502911|TTEST.ASTRO.ESR:0.7458312203013551|TTEST.NEURO.DEX:0.00038058308645657404|TTEST.NEURO.ALD:0.20806953138105203|TTEST.NEURO.DHT:0.29531291645810304|TTEST.NEURO.PRG:0.839273558911599|TTEST.NEURO.ESR:0.38041955730214905|FDR_TTEST.ASTRO.DEX:0.159875101112604|FDR_TTEST.ASTRO.ALD:0.7448337528934911|FDR_TTEST.ASTRO.DHT:0.9760701316511121|FDR_TTEST.ASTRO.PRG:0.9479897784784981|FDR_TTEST.ASTRO.ESR:0.988803998506053|FDR_TTEST.NEURO.DEX:0.358633539470323|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:0.39221354166666506|FOLD.ASTRO.ALD:0.23743489583333102|FOLD.ASTRO.DHT:-0.055796875000002195|FOLD.ASTRO.PRG:-0.0910416666666674|FOLD.ASTRO.ESR:-0.029643229166668002|FOLD.NEURO.DEX:0.388033854166665|FOLD.NEURO.ALD:0.12028385416666501|FOLD.NEURO.DHT:0.10631510416666501|FOLD.NEURO.PRG:0.0225442708333325|FOLD.NEURO.ESR:0.0622734375
4	Htra1	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000006205	ENSMUST00000150905|ENSMUST00000153290|ENSMUST00000140741|ENSMUST00000006367|ENSMUST00000150717	NM_019564	HTRA1	insulin-like growth factor binding protein 5 protease|RSPP11|L56|HtrA1|Prss11	Regulation: UP|Probe.Set:ILMN_2966104|Identifier:NM_019564.1|FirstOfLocuslink:NP_062510.1|FirstOfName:Htra1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.82125136529911e-21|ANOVA.CELL:1.0120142846542299e-19|ANOVA.INT:3.42234805331726e-12|FDR_ANOVA.TREAT:2.47336648650945e-18|FDR_ANOVA.CELL:5.35266295299249e-19|FDR_ANOVA.INT:2.10697998685162e-09|TTEST.ASTRO.DEX:5.07375900789507e-07|TTEST.ASTRO.ALD:1.7949335020140102e-05|TTEST.ASTRO.DHT:0.0158971422431414|TTEST.ASTRO.PRG:0.00108933008083807|TTEST.ASTRO.ESR:0.0206758605639491|TTEST.NEURO.DEX:5.87752683068e-06|TTEST.NEURO.ALD:0.466058501013545|TTEST.NEURO.DHT:0.536864111494815|TTEST.NEURO.PRG:0.69945099185863|TTEST.NEURO.ESR:0.488899329853595|FDR_TTEST.ASTRO.DEX:0.00042595590623735805|FDR_TTEST.ASTRO.ALD:0.0223997998708095|FDR_TTEST.ASTRO.DHT:0.868294874397281|FDR_TTEST.ASTRO.PRG:0.5588747461401891|FDR_TTEST.ASTRO.ESR:0.8712423768954921|FDR_TTEST.NEURO.DEX:0.0678472309699546|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.8748984375000002|FOLD.ASTRO.ALD:0.6561718750000001|FOLD.ASTRO.DHT:0.257440104166667|FOLD.ASTRO.PRG:0.24793229166666603|FOLD.ASTRO.ESR:0.25302083333333203|FOLD.NEURO.DEX:0.5442057291666661|FOLD.NEURO.ALD:0.0909687499999983|FOLD.NEURO.DHT:-0.030299479166666598|FOLD.NEURO.PRG:-0.0208750000000002|FOLD.NEURO.ESR:-0.0497786458333334
5	Gjb6	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000040055	ENSMUST00000039380|ENSMUST00000160703|ENSMUST00000224544|ENSMUST00000162931	NM_001271663|NM_001010937	GJB6	connexin 30|Cx30|D14Bwg0506e	Regulation: UP|Probe.Set:ILMN_1250356|Identifier:NM_001010937.1|FirstOfLocuslink:NP_001010937.1|FirstOfName:Gjb6|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.3872960698794603e-30|ANOVA.CELL:1.59074434522569e-26|ANOVA.INT:3.21878757601252e-13|FDR_ANOVA.TREAT:3.2028504365307004e-26|FDR_ANOVA.CELL:1.34970653062204e-25|FDR_ANOVA.INT:2.3591158338857497e-10|TTEST.ASTRO.DEX:1.2143443116674299e-08|TTEST.ASTRO.ALD:1.35878181976531e-05|TTEST.ASTRO.DHT:0.6820505945704981|TTEST.ASTRO.PRG:0.35094075418041804|TTEST.ASTRO.ESR:0.0640198756314986|TTEST.NEURO.DEX:1.2897904238065501e-05|TTEST.NEURO.ALD:0.801989826789214|TTEST.NEURO.DHT:0.227877662713094|TTEST.NEURO.PRG:0.0812963288653637|TTEST.NEURO.ESR:0.956534338087583|FDR_TTEST.ASTRO.DEX:9.295562016350641e-05|FDR_TTEST.ASTRO.ALD:0.0190122399229829|FDR_TTEST.ASTRO.DHT:0.9767633439718221|FDR_TTEST.ASTRO.PRG:0.9206682075449211|FDR_TTEST.ASTRO.ESR:0.9148426913910791|FDR_TTEST.NEURO.DEX:0.11910956605768701|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:3.17872135416667|FOLD.ASTRO.ALD:1.20820052083333|FOLD.ASTRO.DHT:-0.0356744791666674|FOLD.ASTRO.PRG:0.0946484375000001|FOLD.ASTRO.ESR:-0.22297395833333403|FOLD.NEURO.DEX:1.92296875|FOLD.NEURO.ALD:0.026997395833333798|FOLD.NEURO.DHT:-0.140518229166666|FOLD.NEURO.PRG:-0.167039062499999|FOLD.NEURO.ESR:0.00475260416666679
6	Spsb1	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000039911	ENSMUST00000149743|ENSMUST00000105685|ENSMUST00000125135|ENSMUST00000135896|ENSMUST00000156897|ENSMUST00000156451|ENSMUST00000105684|ENSMUST00000149360|ENSMUST00000038562|ENSMUST00000167342	NM_029035	SPSB1	1110014L01Rik|SSB1|4930422J18Rik	Regulation: UP|Probe.Set:ILMN_1224336|Identifier:NM_029035.2|FirstOfLocuslink:NP_083311.1|FirstOfName:Spsb1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:5.1758932103554305e-28|ANOVA.CELL:9.436788370465271e-43|ANOVA.INT:1.6431001085680798e-14|FDR_ANOVA.TREAT:4.7798338618990395e-24|FDR_ANOVA.CELL:6.03510064013661e-41|FDR_ANOVA.INT:1.51737008826045e-11|TTEST.ASTRO.DEX:1.5949082212992e-07|TTEST.ASTRO.ALD:7.843824599550761e-05|TTEST.ASTRO.DHT:0.015865647198613|TTEST.ASTRO.PRG:0.73882775035503|TTEST.ASTRO.ESR:0.008907225551190381|TTEST.NEURO.DEX:2.14526799207402e-05|TTEST.NEURO.ALD:0.12363823866994401|TTEST.NEURO.DHT:0.489175344119385|TTEST.NEURO.PRG:0.9134660927264331|TTEST.NEURO.ESR:0.789478491364459|FDR_TTEST.ASTRO.DEX:0.000245477640700898|FDR_TTEST.ASTRO.ALD:0.0584162511386543|FDR_TTEST.ASTRO.DHT:0.868294874397281|FDR_TTEST.ASTRO.PRG:0.97471441625531|FDR_TTEST.ASTRO.ESR:0.867316536877425|FDR_TTEST.NEURO.DEX:0.15690839699474302|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.884953125|FOLD.ASTRO.ALD:0.713216145833332|FOLD.ASTRO.DHT:-0.19738020833333403|FOLD.ASTRO.PRG:0.0238854166666655|FOLD.ASTRO.ESR:-0.262747395833335|FOLD.NEURO.DEX:0.9065937499999991|FOLD.NEURO.ALD:0.14856770833333302|FOLD.NEURO.DHT:-0.0761171874999995|FOLD.NEURO.PRG:-0.0094635416666673|FOLD.NEURO.ESR:-0.0241510416666664
7	Ipas	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex						Regulation: UP|Probe.Set:ILMN_2649671|Identifier:AF416641|FirstOfLocuslink:None|FirstOfName:Ipas|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.6880777643502802e-26|ANOVA.CELL:1.30948971506198e-25|ANOVA.INT:5.384147780045689e-07|FDR_ANOVA.TREAT:8.660589187901101e-23|FDR_ANOVA.CELL:1.0321676016263499e-24|FDR_ANOVA.INT:0.00010024501596606|TTEST.ASTRO.DEX:9.354865886984831e-08|TTEST.ASTRO.ALD:0.000125694707156133|TTEST.ASTRO.DHT:0.8944460778131511|TTEST.ASTRO.PRG:0.00666546124760806|TTEST.ASTRO.ESR:0.0845335906721338|TTEST.NEURO.DEX:2.3787386385481103e-05|TTEST.NEURO.ALD:0.329764177151934|TTEST.NEURO.DHT:0.24759617010720902|TTEST.NEURO.PRG:0.704541264567428|TTEST.NEURO.ESR:0.10884569451390601|FDR_TTEST.ASTRO.DEX:0.00016314657029046402|FDR_TTEST.ASTRO.ALD:0.0764703514453953|FDR_TTEST.ASTRO.DHT:0.9912751888325011|FDR_TTEST.ASTRO.PRG:0.728171641005082|FDR_TTEST.ASTRO.ESR:0.9344603195070771|FDR_TTEST.NEURO.DEX:0.15690839699474302|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:2.08341145833333|FOLD.ASTRO.ALD:0.6107760416666681|FOLD.ASTRO.DHT:-0.00796874999999897|FOLD.ASTRO.PRG:0.17611197916666702|FOLD.ASTRO.ESR:0.14620833333333502|FOLD.NEURO.DEX:1.2295|FOLD.NEURO.ALD:0.151257812500001|FOLD.NEURO.DHT:-0.126554687499999|FOLD.NEURO.PRG:-0.0393333333333334|FOLD.NEURO.ESR:-0.15897135416666502
8	4933421H10Rik	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000032232	ENSMUST00000146567|ENSMUST00000122065|ENSMUST00000121322|ENSMUST00000136044|ENSMUST00000072899|ENSMUST00000152224	NM_001407857|NM_026599|NM_001304362	CGNL1		Regulation: UP|Probe.Set:ILMN_2736038|Identifier:NM_026599.3|FirstOfLocuslink:None|FirstOfName:4933421H10Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.3838258621733801e-08|ANOVA.CELL:1.5830240925842902e-37|ANOVA.INT:1.32799035072695e-06|FDR_ANOVA.TREAT:2.0881299137252795e-06|FDR_ANOVA.CELL:4.1649318775491196e-36|FDR_ANOVA.INT:0.00022543612667083203|TTEST.ASTRO.DEX:0.0511989143495276|TTEST.ASTRO.ALD:0.00269222500900902|TTEST.ASTRO.DHT:0.0190977863935855|TTEST.ASTRO.PRG:0.0120616927146217|TTEST.ASTRO.ESR:0.0150272468683968|TTEST.NEURO.DEX:3.1940164918532704e-05|TTEST.NEURO.ALD:0.398451247258065|TTEST.NEURO.DHT:0.7785893933322151|TTEST.NEURO.PRG:0.665054545123504|TTEST.NEURO.ESR:0.556700683295355|FDR_TTEST.ASTRO.DEX:0.401047767929441|FDR_TTEST.ASTRO.ALD:0.28797499749501204|FDR_TTEST.ASTRO.DHT:0.8701675035860941|FDR_TTEST.ASTRO.PRG:0.797314527299913|FDR_TTEST.ASTRO.ESR:0.867316536877425|FDR_TTEST.NEURO.DEX:0.166990045801467|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.20126041666666702|FOLD.ASTRO.ALD:-0.43534635416666706|FOLD.ASTRO.DHT:-0.31713802083333303|FOLD.ASTRO.PRG:-0.349414062500001|FOLD.ASTRO.ESR:-0.22682812499999902|FOLD.NEURO.DEX:0.6270052083333321|FOLD.NEURO.ALD:-0.0599010416666665|FOLD.NEURO.DHT:-0.0245651041666664|FOLD.NEURO.PRG:-0.0224010416666669|FOLD.NEURO.ESR:-0.0382109375000006
9	Mfsd2	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000028655	ENSMUST00000152308|ENSMUST00000030408|ENSMUST00000138964|ENSMUST00000127047	NM_029662	MFSD2A		Regulation: UP|Probe.Set:ILMN_1225764|Identifier:NM_029662.1|FirstOfLocuslink:NP_083938.1|FirstOfName:Mfsd2|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:5.662441473525271e-22|ANOVA.CELL:4.12753134888924e-36|ANOVA.INT:0.0037094744849737404|FDR_ANOVA.TREAT:9.01577836546745e-19|FDR_ANOVA.CELL:9.053901781644271e-35|FDR_ANOVA.INT:0.17231516586436402|TTEST.ASTRO.DEX:1.61052748583196e-08|TTEST.ASTRO.ALD:1.89958081407105e-05|TTEST.ASTRO.DHT:0.47494345967748|TTEST.ASTRO.PRG:0.0198198187255462|TTEST.ASTRO.ESR:0.5098895696268321|TTEST.NEURO.DEX:3.52862801627013e-05|TTEST.NEURO.ALD:0.17959026658856703|TTEST.NEURO.DHT:0.7346053301352411|TTEST.NEURO.PRG:0.9730697145865541|TTEST.NEURO.ESR:0.07913669417264489|FDR_TTEST.ASTRO.DEX:9.295562016350641e-05|FDR_TTEST.ASTRO.ALD:0.022974616880999003|FDR_TTEST.ASTRO.DHT:0.952954462450694|FDR_TTEST.ASTRO.PRG:0.8285421438792391|FDR_TTEST.ASTRO.ESR:0.9733031953362121|FDR_TTEST.NEURO.DEX:0.166990045801467|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.6510625|FOLD.ASTRO.ALD:0.8992968750000011|FOLD.ASTRO.DHT:-0.0960182291666651|FOLD.ASTRO.PRG:0.17436979166666702|FOLD.ASTRO.ESR:-0.0576119791666656|FOLD.NEURO.DEX:1.43940104166667|FOLD.NEURO.ALD:0.277364583333334|FOLD.NEURO.DHT:-0.0489973958333323|FOLD.NEURO.PRG:-0.00550520833333223|FOLD.NEURO.ESR:-0.263658854166666
10	Pdk4	3_neurons_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000019577	ENSMUST00000134068|ENSMUST00000019721|ENSMUST00000203347	NM_013743	PDK4		Regulation: UP|Probe.Set:ILMN_1259322|Identifier:NM_013743.2|FirstOfLocuslink:NP_038771.1|FirstOfName:Pdk4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.0539960607225003e-27|ANOVA.CELL:1.2051956582307999e-30|ANOVA.INT:1.9010849457172298e-08|FDR_ANOVA.TREAT:1.58068690179668e-23|FDR_ANOVA.CELL:1.46791623115667e-29|FDR_ANOVA.INT:5.103528853694619e-06|TTEST.ASTRO.DEX:6.35423507595005e-08|TTEST.ASTRO.ALD:1.28986243256264e-06|TTEST.ASTRO.DHT:0.6791413585154841|TTEST.ASTRO.PRG:0.0005312346385834071|TTEST.ASTRO.ESR:0.21735492983837|TTEST.NEURO.DEX:3.6165384372475204e-05|TTEST.NEURO.ALD:0.057367740929353796|TTEST.NEURO.DHT:0.320463757322545|TTEST.NEURO.PRG:0.9479709352325391|TTEST.NEURO.ESR:0.6347976755800491|FDR_TTEST.ASTRO.DEX:0.00013336384108950802|FDR_TTEST.ASTRO.ALD:0.00583713243733652|FDR_TTEST.ASTRO.DHT:0.9756899983482251|FDR_TTEST.ASTRO.PRG:0.434403748281568|FDR_TTEST.ASTRO.ESR:0.9490685254261141|FDR_TTEST.NEURO.DEX:0.166990045801467|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:3.45117708333333|FOLD.ASTRO.ALD:2.22634635416667|FOLD.ASTRO.DHT:0.049427083333332796|FOLD.ASTRO.PRG:0.799929687500001|FOLD.ASTRO.ESR:0.1715546875|FOLD.NEURO.DEX:2.35663541666667|FOLD.NEURO.ALD:0.6798359375|FOLD.NEURO.DHT:-0.22837760416666503|FOLD.NEURO.PRG:-0.013789062500000799|FOLD.NEURO.ESR:-0.100591145833333
