Index	Gene_name	Gene_list_number	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	Slc10a6	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000029321	ENSMUST00000031263	NM_029415	SLC10A6		Regulation: UP|Probe.Set:ILMN_2636624|Identifier:NM_029415.2|FirstOfLocuslink:NP_083691.1|FirstOfName:Slc10a6|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.83715527698278e-12|ANOVA.CELL:1.8225911985986598e-11|ANOVA.INT:9.295268804983808e-11|FDR_ANOVA.TREAT:8.792134748953232e-10|FDR_ANOVA.CELL:6.12982198296267e-11|FDR_ANOVA.INT:4.33535092728608e-08|TTEST.ASTRO.DEX:5.6450156899652304e-05|TTEST.ASTRO.ALD:0.0034323381199203302|TTEST.ASTRO.DHT:0.534145374569952|TTEST.ASTRO.PRG:0.7216102730098171|TTEST.ASTRO.ESR:0.816445170671041|TTEST.NEURO.DEX:0.0792335269770362|TTEST.NEURO.ALD:0.12338949622636|TTEST.NEURO.DHT:0.0144861550179093|TTEST.NEURO.PRG:0.0035086732005408902|TTEST.NEURO.ESR:0.16237743686014403|FDR_TTEST.ASTRO.DEX:0.008201469063703311|FDR_TTEST.ASTRO.ALD:0.311364990862871|FDR_TTEST.ASTRO.DHT:0.9601973263798551|FDR_TTEST.ASTRO.PRG:0.9722522436683091|FDR_TTEST.ASTRO.ESR:0.9919624068667681|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.2555390625|FOLD.ASTRO.ALD:0.531091145833334|FOLD.ASTRO.DHT:-0.0791536458333333|FOLD.ASTRO.PRG:0.0489270833333331|FOLD.ASTRO.ESR:0.0357812499999994|FOLD.NEURO.DEX:0.21674739583333302|FOLD.NEURO.ALD:0.133294270833333|FOLD.NEURO.DHT:0.154580729166667|FOLD.NEURO.PRG:0.280544270833333|FOLD.NEURO.ESR:0.0935260416666663
2	Mapk4	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000024558	ENSMUST00000160601|ENSMUST00000162863|ENSMUST00000091851|ENSMUST00000159162	NM_172632|NM_001360936	MAPK4		Regulation: UP|Probe.Set:ILMN_1226868|Identifier:NM_172632.2|FirstOfLocuslink:NP_766220.2|FirstOfName:Mapk4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.2229121341770898e-21|ANOVA.CELL:0.0058976552263952904|ANOVA.INT:2.8717483501545e-16|FDR_ANOVA.TREAT:1.76458577760916e-18|FDR_ANOVA.CELL:0.0107720859344769|FDR_ANOVA.INT:4.01818510060709e-13|TTEST.ASTRO.DEX:1.65691189862528e-09|TTEST.ASTRO.ALD:3.96019166635871e-07|TTEST.ASTRO.DHT:0.64045976535856|TTEST.ASTRO.PRG:6.27258813313327e-06|TTEST.ASTRO.ESR:0.0780597335174416|TTEST.NEURO.DEX:0.0045203570901247905|TTEST.NEURO.ALD:0.75439701930622|TTEST.NEURO.DHT:0.5588610686020841|TTEST.NEURO.PRG:0.8818747321268121|TTEST.NEURO.ESR:0.6036853054104531|FDR_TTEST.ASTRO.DEX:3.82531250035617e-05|FDR_TTEST.ASTRO.ALD:0.0032390496180011203|FDR_TTEST.ASTRO.DHT:0.9704877304706041|FDR_TTEST.ASTRO.PRG:0.120653323447564|FDR_TTEST.ASTRO.ESR:0.930870386217548|FDR_TTEST.NEURO.DEX:0.8543692424304261|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:2.491515625|FOLD.ASTRO.ALD:1.5523567708333301|FOLD.ASTRO.DHT:0.0279114583333335|FOLD.ASTRO.PRG:0.710755208333333|FOLD.ASTRO.ESR:0.177536458333334|FOLD.NEURO.DEX:0.49216927083333306|FOLD.NEURO.ALD:0.0485885416666658|FOLD.NEURO.DHT:-0.052216145833334296|FOLD.NEURO.PRG:-0.0212447916666676|FOLD.NEURO.ESR:-0.0760833333333331
3	Slc25a33	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000028982	ENSMUST00000105686	NM_027460	SLC25A33	5730438N18Rik|Pnc1	Regulation: UP|Probe.Set:ILMN_2761046|Identifier:NM_027460.2|FirstOfLocuslink:NP_081736.2|FirstOfName:Slc25a33|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:3.4202568423598697e-29|ANOVA.CELL:3.16958013304662e-28|ANOVA.INT:3.07767601956874e-26|FDR_ANOVA.TREAT:5.26423131463749e-25|FDR_ANOVA.CELL:3.1019964617061203e-27|FDR_ANOVA.INT:7.1054306263783605e-22|TTEST.ASTRO.DEX:3.2913184403289303e-09|TTEST.ASTRO.ALD:1.6434080150165599e-06|TTEST.ASTRO.DHT:0.00584385108334087|TTEST.ASTRO.PRG:0.0026085947236374903|TTEST.ASTRO.ESR:0.102654649029059|TTEST.NEURO.DEX:0.0123465398913053|TTEST.NEURO.ALD:0.7615273919174811|TTEST.NEURO.DHT:0.6439334872341831|TTEST.NEURO.PRG:0.7759241905720191|TTEST.NEURO.ESR:0.548192027017897|FDR_TTEST.ASTRO.DEX:3.85252802749791e-05|FDR_TTEST.ASTRO.ALD:0.00583713243733652|FDR_TTEST.ASTRO.DHT:0.8456116380494431|FDR_TTEST.ASTRO.PRG:0.6717099659914241|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:4.03754166666667|FOLD.ASTRO.ALD:1.82001302083333|FOLD.ASTRO.DHT:0.23681770833333401|FOLD.ASTRO.PRG:0.463307291666666|FOLD.ASTRO.ESR:0.139601562500001|FOLD.NEURO.DEX:0.3565859375|FOLD.NEURO.ALD:0.0282473958333345|FOLD.NEURO.DHT:-0.0588020833333331|FOLD.NEURO.PRG:-0.030794270833332898|FOLD.NEURO.ESR:-0.0730026041666658
4	Acsl3	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000032883	ENSMUST00000035779|ENSMUST00000142704|ENSMUST00000134566|ENSMUST00000154777|ENSMUST00000148608|ENSMUST00000132997|ENSMUST00000135642	NM_028817|NM_001136222|NM_001033606	ACSL3	2610510B12Rik|C85929|Facl3	Regulation: UP|Probe.Set:ILMN_3138743|Identifier:NM_028817.2|FirstOfLocuslink:NP_083093.2|FirstOfName:Acsl3|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:5.94773198420366e-23|ANOVA.CELL:1.48215937410268e-05|ANOVA.INT:1.0479970028045001e-15|FDR_ANOVA.TREAT:1.2483208029028198e-19|FDR_ANOVA.CELL:3.57804292046934e-05|FDR_ANOVA.INT:1.20975534018738e-12|TTEST.ASTRO.DEX:3.33740029237052e-09|TTEST.ASTRO.ALD:7.19084814466862e-07|TTEST.ASTRO.DHT:0.209934122102638|TTEST.ASTRO.PRG:0.000270881847748371|TTEST.ASTRO.ESR:0.68858173687941|TTEST.NEURO.DEX:0.000334074048703203|TTEST.NEURO.ALD:0.0401768707177358|TTEST.NEURO.DHT:0.8873627196100061|TTEST.NEURO.PRG:0.802108998427932|TTEST.NEURO.ESR:0.71118994275384|FDR_TTEST.ASTRO.DEX:3.85252802749791e-05|FDR_TTEST.ASTRO.ALD:0.00474328888902756|FDR_TTEST.ASTRO.DHT:0.913268928121404|FDR_TTEST.ASTRO.PRG:0.36198613421618103|FDR_TTEST.ASTRO.ESR:0.9862015546667011|FDR_TTEST.NEURO.DEX:0.342789669440483|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:2.0211171875|FOLD.ASTRO.ALD:1.32765625|FOLD.ASTRO.DHT:-0.0610078124999998|FOLD.ASTRO.PRG:0.679380208333333|FOLD.ASTRO.ESR:0.014919270833333399|FOLD.NEURO.DEX:0.591914062500001|FOLD.NEURO.ALD:0.225710937500001|FOLD.NEURO.DHT:0.0140807291666682|FOLD.NEURO.PRG:-0.025309895833332898|FOLD.NEURO.ESR:0.0307421875000014
5	Fkbp5	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000024222	ENSMUST00000232939|ENSMUST00000233102|ENSMUST00000233917|ENSMUST00000153744|ENSMUST00000147716|ENSMUST00000233307|ENSMUST00000143685|ENSMUST00000079413|ENSMUST00000177939|ENSMUST00000233747|ENSMUST00000233870|ENSMUST00000233291|ENSMUST00000114792|ENSMUST00000232690|ENSMUST00000233372	NM_010220	FKBP5	FKBP51|Dit1|D17Ertd592e	Regulation: UP|Probe.Set:ILMN_2718266|Identifier:NM_010220.2|FirstOfLocuslink:NP_034350.1|FirstOfName:Fkbp5|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.63332723797309e-33|ANOVA.CELL:0.15210598397597802|ANOVA.INT:6.19611449364926e-28|FDR_ANOVA.TREAT:7.54172518861694e-29|FDR_ANOVA.CELL:0.205384890165715|FDR_ANOVA.INT:2.86099390629761e-23|TTEST.ASTRO.DEX:9.14161669839965e-09|TTEST.ASTRO.ALD:1.3720617350891498e-07|TTEST.ASTRO.DHT:0.583189868586337|TTEST.ASTRO.PRG:0.006970797640873|TTEST.ASTRO.ESR:0.319987618835311|TTEST.NEURO.DEX:9.219821657868821e-05|TTEST.NEURO.ALD:0.400543846041132|TTEST.NEURO.DHT:0.0551931126868899|TTEST.NEURO.PRG:0.033664124138607004|TTEST.NEURO.ESR:0.397358404824727|FDR_TTEST.ASTRO.DEX:8.44210018863811e-05|FDR_TTEST.ASTRO.ALD:0.00298311093927957|FDR_TTEST.ASTRO.DHT:0.9654154814713141|FDR_TTEST.ASTRO.PRG:0.728171641005082|FDR_TTEST.ASTRO.ESR:0.95588708088218|FDR_TTEST.NEURO.DEX:0.253466435714995|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:4.3157578125|FOLD.ASTRO.ALD:2.3819296875|FOLD.ASTRO.DHT:0.0536354166666655|FOLD.ASTRO.PRG:0.495515624999999|FOLD.ASTRO.ESR:0.100065104166665|FOLD.NEURO.DEX:0.8249479166666681|FOLD.NEURO.ALD:-0.0541302083333335|FOLD.NEURO.DHT:-0.126888020833333|FOLD.NEURO.PRG:-0.213716145833333|FOLD.NEURO.ESR:-0.040320312500000496
6	Gjb6	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000040055	ENSMUST00000160703|ENSMUST00000039380|ENSMUST00000224544|ENSMUST00000162931	NM_001271663|NM_001010937	GJB6	connexin 30|Cx30|D14Bwg0506e	Regulation: UP|Probe.Set:ILMN_1250356|Identifier:NM_001010937.1|FirstOfLocuslink:NP_001010937.1|FirstOfName:Gjb6|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.3872960698794603e-30|ANOVA.CELL:1.59074434522569e-26|ANOVA.INT:3.21878757601252e-13|FDR_ANOVA.TREAT:3.2028504365307004e-26|FDR_ANOVA.CELL:1.34970653062204e-25|FDR_ANOVA.INT:2.3591158338857497e-10|TTEST.ASTRO.DEX:1.2143443116674299e-08|TTEST.ASTRO.ALD:1.35878181976531e-05|TTEST.ASTRO.DHT:0.6820505945704981|TTEST.ASTRO.PRG:0.35094075418041804|TTEST.ASTRO.ESR:0.0640198756314986|TTEST.NEURO.DEX:1.2897904238065501e-05|TTEST.NEURO.ALD:0.801989826789214|TTEST.NEURO.DHT:0.227877662713094|TTEST.NEURO.PRG:0.0812963288653637|TTEST.NEURO.ESR:0.956534338087583|FDR_TTEST.ASTRO.DEX:9.295562016350641e-05|FDR_TTEST.ASTRO.ALD:0.0190122399229829|FDR_TTEST.ASTRO.DHT:0.9767633439718221|FDR_TTEST.ASTRO.PRG:0.9206682075449211|FDR_TTEST.ASTRO.ESR:0.9148426913910791|FDR_TTEST.NEURO.DEX:0.11910956605768701|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:3.17872135416667|FOLD.ASTRO.ALD:1.20820052083333|FOLD.ASTRO.DHT:-0.0356744791666674|FOLD.ASTRO.PRG:0.0946484375000001|FOLD.ASTRO.ESR:-0.22297395833333403|FOLD.NEURO.DEX:1.92296875|FOLD.NEURO.ALD:0.026997395833333798|FOLD.NEURO.DHT:-0.140518229166666|FOLD.NEURO.PRG:-0.167039062499999|FOLD.NEURO.ESR:0.00475260416666679
7	Prodh	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000003526	ENSMUST00000139861|ENSMUST00000126087|ENSMUST00000232554|ENSMUST00000232384|ENSMUST00000132241|ENSMUST00000003620|ENSMUST00000123969|ENSMUST00000232502|ENSMUST00000141635|ENSMUST00000136776	NM_011172	PRODH	Pro-1|Pro1|Ym24d07	Regulation: UP|Probe.Set:ILMN_2908406|Identifier:NM_011172.2|FirstOfLocuslink:NP_035302.2|FirstOfName:Prodh|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.8094115267941802e-18|ANOVA.CELL:2.98988386514117e-26|ANOVA.INT:1.02837391849139e-07|FDR_ANOVA.TREAT:1.6381915262391001e-15|FDR_ANOVA.CELL:2.48300175519835e-25|FDR_ANOVA.INT:2.2085645261591303e-05|TTEST.ASTRO.DEX:2.8179383122569605e-05|TTEST.ASTRO.ALD:3.2097705732636604e-05|TTEST.ASTRO.DHT:0.998071928374282|TTEST.ASTRO.PRG:0.00527045091984161|TTEST.ASTRO.ESR:0.8700081503264451|TTEST.NEURO.DEX:0.000157967889851753|TTEST.NEURO.ALD:0.056623349366356795|TTEST.NEURO.DHT:0.7649882909944371|TTEST.NEURO.PRG:0.9869681774515041|TTEST.NEURO.ESR:0.611161522651489|FDR_TTEST.ASTRO.DEX:0.005366565232127331|FDR_TTEST.ASTRO.ALD:0.0322191187934513|FDR_TTEST.ASTRO.DHT:0.999879233325014|FDR_TTEST.ASTRO.PRG:0.728171641005082|FDR_TTEST.ASTRO.ESR:0.9941703225312281|FDR_TTEST.NEURO.DEX:0.28053882100057|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.542203125|FOLD.ASTRO.ALD:0.8108697916666671|FOLD.ASTRO.DHT:-0.000226562499999972|FOLD.ASTRO.PRG:0.28561197916666703|FOLD.ASTRO.ESR:-0.0162057291666677|FOLD.NEURO.DEX:0.635338541666668|FOLD.NEURO.ALD:0.19484375|FOLD.NEURO.DHT:-0.034570312499999596|FOLD.NEURO.PRG:-0.00130468749999935|FOLD.NEURO.ESR:-0.0416901041666673
8	Mfsd2	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000028655	ENSMUST00000030408|ENSMUST00000152308|ENSMUST00000127047|ENSMUST00000138964	NM_029662	MFSD2A		Regulation: UP|Probe.Set:ILMN_1225764|Identifier:NM_029662.1|FirstOfLocuslink:NP_083938.1|FirstOfName:Mfsd2|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:5.662441473525271e-22|ANOVA.CELL:4.12753134888924e-36|ANOVA.INT:0.0037094744849737404|FDR_ANOVA.TREAT:9.01577836546745e-19|FDR_ANOVA.CELL:9.053901781644271e-35|FDR_ANOVA.INT:0.17231516586436402|TTEST.ASTRO.DEX:1.61052748583196e-08|TTEST.ASTRO.ALD:1.89958081407105e-05|TTEST.ASTRO.DHT:0.47494345967748|TTEST.ASTRO.PRG:0.0198198187255462|TTEST.ASTRO.ESR:0.5098895696268321|TTEST.NEURO.DEX:3.52862801627013e-05|TTEST.NEURO.ALD:0.17959026658856703|TTEST.NEURO.DHT:0.7346053301352411|TTEST.NEURO.PRG:0.9730697145865541|TTEST.NEURO.ESR:0.07913669417264489|FDR_TTEST.ASTRO.DEX:9.295562016350641e-05|FDR_TTEST.ASTRO.ALD:0.022974616880999003|FDR_TTEST.ASTRO.DHT:0.952954462450694|FDR_TTEST.ASTRO.PRG:0.8285421438792391|FDR_TTEST.ASTRO.ESR:0.9733031953362121|FDR_TTEST.NEURO.DEX:0.166990045801467|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.6510625|FOLD.ASTRO.ALD:0.8992968750000011|FOLD.ASTRO.DHT:-0.0960182291666651|FOLD.ASTRO.PRG:0.17436979166666702|FOLD.ASTRO.ESR:-0.0576119791666656|FOLD.NEURO.DEX:1.43940104166667|FOLD.NEURO.ALD:0.277364583333334|FOLD.NEURO.DHT:-0.0489973958333323|FOLD.NEURO.PRG:-0.00550520833333223|FOLD.NEURO.ESR:-0.263658854166666
9	Amica1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000048534	ENSMUST00000215266|ENSMUST00000215098|ENSMUST00000216333|ENSMUST00000050020|ENSMUST00000217074|ENSMUST00000215880|ENSMUST00000216426	NM_001005421			Regulation: UP|Probe.Set:ILMN_3160218|Identifier:NM_001005421.3|FirstOfLocuslink:NP_001005421.2|FirstOfName:Amica1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.71247589648325e-20|ANOVA.CELL:2.26645865153864e-16|ANOVA.INT:4.8435554472414304e-17|FDR_ANOVA.TREAT:2.13707735254643e-17|FDR_ANOVA.CELL:9.83104384933257e-16|FDR_ANOVA.INT:7.711942386928471e-14|TTEST.ASTRO.DEX:2.91990222324017e-08|TTEST.ASTRO.ALD:0.0035067368316358998|TTEST.ASTRO.DHT:0.785551961885078|TTEST.ASTRO.PRG:0.36010173148434704|TTEST.ASTRO.ESR:0.8572586310150041|TTEST.NEURO.DEX:0.0062977973166477704|TTEST.NEURO.ALD:0.742104337811177|TTEST.NEURO.DHT:0.961245386177865|TTEST.NEURO.PRG:0.0980892601242155|TTEST.NEURO.ESR:0.9173148711569231|FDR_TTEST.ASTRO.DEX:0.00011026870910608301|FDR_TTEST.ASTRO.ALD:0.31432240420782703|FDR_TTEST.ASTRO.DHT:0.983797485743861|FDR_TTEST.ASTRO.PRG:0.92382374241646|FDR_TTEST.ASTRO.ESR:0.994143976890932|FDR_TTEST.NEURO.DEX:0.936914954111807|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:1.78778645833333|FOLD.ASTRO.ALD:0.416726562499999|FOLD.ASTRO.DHT:0.0248281249999991|FOLD.ASTRO.PRG:0.0452526041666665|FOLD.ASTRO.ESR:0.014036458333333002|FOLD.NEURO.DEX:0.24394791666666701|FOLD.NEURO.ALD:-0.0274088541666657|FOLD.NEURO.DHT:-0.0031041666666658|FOLD.NEURO.PRG:0.112843750000001|FOLD.NEURO.ESR:0.006729166666667121
10	Bcat1	17	17_astrocytes_dex_up_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000030268	ENSMUST00000149769|ENSMUST00000154611|ENSMUST00000048252|ENSMUST00000032402|ENSMUST00000123930|ENSMUST00000136819|ENSMUST00000111742|ENSMUST00000204138|ENSMUST00000145911|ENSMUST00000155693	NM_001024468|NM_007532	BCAT1	Eca39|BCATc|Bcat-1	Regulation: UP|Probe.Set:ILMN_3131478|Identifier:NM_007532.2|FirstOfLocuslink:NP_031558.2|FirstOfName:Bcat1|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.44406651420773e-25|ANOVA.CELL:4.2976910899682504e-42|ANOVA.INT:7.61582799161447e-23|FDR_ANOVA.TREAT:5.12910209438674e-22|FDR_ANOVA.CELL:2.40535258652356e-40|FDR_ANOVA.INT:5.860887361413439e-19|TTEST.ASTRO.DEX:3.05105499144093e-08|TTEST.ASTRO.ALD:3.0055224711478498e-06|TTEST.ASTRO.DHT:0.282101184177323|TTEST.ASTRO.PRG:0.00032219359540732904|TTEST.ASTRO.ESR:0.0952348211884848|TTEST.NEURO.DEX:0.0077236740544656506|TTEST.NEURO.ALD:0.39535831663637205|TTEST.NEURO.DHT:0.620575164384356|TTEST.NEURO.PRG:0.7313550622408971|TTEST.NEURO.ESR:0.804415650215984|FDR_TTEST.ASTRO.DEX:0.00011026870910608301|FDR_TTEST.ASTRO.ALD:0.00867356216142379|FDR_TTEST.ASTRO.DHT:0.9313076710536411|FDR_TTEST.ASTRO.PRG:0.36198613421618103|FDR_TTEST.ASTRO.ESR:0.934626371936716|FDR_TTEST.NEURO.DEX:0.9663768582666921|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:3.49393229166667|FOLD.ASTRO.ALD:1.6772552083333299|FOLD.ASTRO.DHT:0.140968749999999|FOLD.ASTRO.PRG:0.613466145833332|FOLD.ASTRO.ESR:0.25790364583333203|FOLD.NEURO.DEX:0.296669270833334|FOLD.NEURO.ALD:0.0897187500000012|FOLD.NEURO.DHT:-0.036999999999999006|FOLD.NEURO.PRG:0.037356770833334|FOLD.NEURO.ESR:-0.0265312499999979
