Index	Gene_name	Gene_list_index	Source	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
1	Dbp	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000059824	ENSMUST00000080885|ENSMUST00000210120|ENSMUST00000211357|ENSMUST00000211748|ENSMUST00000211513	NM_016974	DBP		Regulation: DOWN|Probe.Set:ILMN_2616226|Identifier:NM_016974.1|FirstOfLocuslink:NP_058670.1|FirstOfName:Dbp|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.1859021033969e-20|ANOVA.CELL:6.72869903698147e-42|ANOVA.INT:3.31289408104391e-09|FDR_ANOVA.TREAT:2.5879959928781704e-17|FDR_ANOVA.CELL:3.5711603371676196e-40|FDR_ANOVA.INT:1.12068500168878e-06|TTEST.ASTRO.DEX:1.89252093324239e-06|TTEST.ASTRO.ALD:0.0006788195756874999|TTEST.ASTRO.DHT:0.7070382280822061|TTEST.ASTRO.PRG:0.32444926023991405|TTEST.ASTRO.ESR:0.0436622388630401|TTEST.NEURO.DEX:0.000204144184383206|TTEST.NEURO.ALD:0.116004321758258|TTEST.NEURO.DHT:0.230065688815684|TTEST.NEURO.PRG:0.593894021551396|TTEST.NEURO.ESR:0.54026744468247|FDR_TTEST.ASTRO.DEX:0.0009602775996871891|FDR_TTEST.ASTRO.ALD:0.17300504516564502|FDR_TTEST.ASTRO.DHT:0.9775823580685581|FDR_TTEST.ASTRO.PRG:0.915013194470317|FDR_TTEST.ASTRO.ESR:0.9148426913910791|FDR_TTEST.NEURO.DEX:0.29456729905344203|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.9984010416666661|FOLD.ASTRO.ALD:-0.297604166666666|FOLD.ASTRO.DHT:0.0174895833333348|FOLD.ASTRO.PRG:-0.0410520833333337|FOLD.ASTRO.ESR:0.0842604166666678|FOLD.NEURO.DEX:-0.437580729166667|FOLD.NEURO.ALD:-0.09045572916666701|FOLD.NEURO.DHT:-0.07823437500000101|FOLD.NEURO.PRG:-0.0332109374999998|FOLD.NEURO.ESR:0.0327161458333336
2	Ccl4	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000018930	ENSMUST00000019074	NM_013652	CCL4L2		Regulation: DOWN|Probe.Set:ILMN_1224472|Identifier:NM_013652.2|FirstOfLocuslink:NP_038680.1|FirstOfName:Ccl4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:6.68014798674036e-12|ANOVA.CELL:1.9533802601296e-10|ANOVA.INT:0.0156960299849545|FDR_ANOVA.TREAT:1.95220982999841e-09|FDR_ANOVA.CELL:6.2371468177321e-10|FDR_ANOVA.INT:0.447099622779326|TTEST.ASTRO.DEX:6.58119621407944e-06|TTEST.ASTRO.ALD:0.017341741299130898|TTEST.ASTRO.DHT:0.47141880540116904|TTEST.ASTRO.PRG:0.5581411303806291|TTEST.ASTRO.ESR:0.949767728736528|TTEST.NEURO.DEX:0.000605686481380563|TTEST.NEURO.ALD:0.0850174547269536|TTEST.NEURO.DHT:0.7014065460166641|TTEST.NEURO.PRG:0.550239848799373|TTEST.NEURO.ESR:0.786468738710499|FDR_TTEST.ASTRO.DEX:0.00205753237625778|FDR_TTEST.ASTRO.ALD:0.49782592929863706|FDR_TTEST.ASTRO.DHT:0.9524333835731791|FDR_TTEST.ASTRO.PRG:0.9541221568947211|FDR_TTEST.ASTRO.ESR:0.998196346409513|FDR_TTEST.NEURO.DEX:0.44826947164339603|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.9082421875|FOLD.ASTRO.ALD:-0.386294270833334|FOLD.ASTRO.DHT:0.0790885416666676|FOLD.ASTRO.PRG:-0.0718567708333335|FOLD.ASTRO.ESR:0.006908854166667311|FOLD.NEURO.DEX:-0.9261276041666681|FOLD.NEURO.ALD:-0.2115546875|FOLD.NEURO.DHT:0.181072916666666|FOLD.NEURO.PRG:-0.0691406250000011|FOLD.NEURO.ESR:0.0387864583333322
3	Ccl3	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000000982	ENSMUST00000001008	NM_011337	CCL3L1	MIP1-(a)|MIP1-alpha|MIP-1 alpha|MIP-1alpha|macrophage inflammatory protein-1alpha|Mip1a|CCL3|Scya3|LD78alpha|G0S19-1	Regulation: DOWN|Probe.Set:ILMN_1253919|Identifier:NM_011337.2|FirstOfLocuslink:NP_035467.1|FirstOfName:Ccl3|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:6.3609591121484994e-12|ANOVA.CELL:5.7287794581602e-17|ANOVA.INT:0.0147600519511727|FDR_ANOVA.TREAT:1.8707702295818103e-09|FDR_ANOVA.CELL:2.57365890933147e-16|FDR_ANOVA.INT:0.433441117864638|TTEST.ASTRO.DEX:3.3742847659518e-06|TTEST.ASTRO.ALD:0.0167894159153454|TTEST.ASTRO.DHT:0.0349294618859123|TTEST.ASTRO.PRG:0.760185476214541|TTEST.ASTRO.ESR:0.0883022113562424|TTEST.NEURO.DEX:0.00036575943409963103|TTEST.NEURO.ALD:0.0876733827960967|TTEST.NEURO.DHT:0.412121590623569|TTEST.NEURO.PRG:0.361482598129489|TTEST.NEURO.ESR:0.971680701524066|FDR_TTEST.ASTRO.DEX:0.0013203747862971|FDR_TTEST.ASTRO.ALD:0.49504118165719|FDR_TTEST.ASTRO.DHT:0.8845768646342911|FDR_TTEST.ASTRO.PRG:0.975687500293934|FDR_TTEST.ASTRO.ESR:0.9344603195070771|FDR_TTEST.NEURO.DEX:0.358633539470323|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.7885390625|FOLD.ASTRO.ALD:-0.211260416666667|FOLD.ASTRO.DHT:0.20407552083333302|FOLD.ASTRO.PRG:0.0382786458333353|FOLD.ASTRO.ESR:0.21129427083333302|FOLD.NEURO.DEX:-0.930520833333333|FOLD.NEURO.ALD:-0.2506875|FOLD.NEURO.DHT:0.41496875|FOLD.NEURO.PRG:-0.117622395833333|FOLD.NEURO.ESR:0.0058619791666672
4	Fxn	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000059363	ENSMUST00000123684|ENSMUST00000132688|ENSMUST00000081333	NM_008044	FXN	Frda	Regulation: DOWN|Probe.Set:ILMN_3125363|Identifier:NM_008044.1|FirstOfLocuslink:NP_032070.1|FirstOfName:Fxn|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:6.29531409558481e-07|ANOVA.CELL:0.00212755422910604|ANOVA.INT:0.0355689814429066|FDR_ANOVA.TREAT:6.33289396622076e-05|FDR_ANOVA.CELL:0.00414679987229811|FDR_ANOVA.INT:0.697430383567552|TTEST.ASTRO.DEX:0.367596355149709|TTEST.ASTRO.ALD:0.303976106422714|TTEST.ASTRO.DHT:0.0194605617769165|TTEST.ASTRO.PRG:0.0621432262207188|TTEST.ASTRO.ESR:0.0681018981868825|TTEST.NEURO.DEX:0.0005950477380494801|TTEST.NEURO.ALD:0.132817110342476|TTEST.NEURO.DHT:0.598603855438134|TTEST.NEURO.PRG:0.56249804548236|TTEST.NEURO.ESR:0.25519329035139704|FDR_TTEST.ASTRO.DEX:0.798870985355519|FDR_TTEST.ASTRO.ALD:0.8407822926984351|FDR_TTEST.ASTRO.DHT:0.8701675035860941|FDR_TTEST.ASTRO.PRG:0.856438579894999|FDR_TTEST.ASTRO.ESR:0.9148426913910791|FDR_TTEST.NEURO.DEX:0.44826947164339603|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.07391666666666549|FOLD.ASTRO.ALD:0.10001562500000101|FOLD.ASTRO.DHT:0.289786458333335|FOLD.ASTRO.PRG:0.23398437500000202|FOLD.ASTRO.ESR:0.16552864583333401|FOLD.NEURO.DEX:-0.26988020833333504|FOLD.NEURO.ALD:-0.0689453125000004|FOLD.NEURO.DHT:-0.041419270833333896|FOLD.NEURO.PRG:0.0358385416666653|FOLD.NEURO.ESR:0.06956510416666539
5	Ccl4	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000018930	ENSMUST00000019074	NM_013652	CCL4L2	MIP-1B|MIP-1 beta|Mip1b|Scya4|AT744.1|Act-2	Regulation: DOWN|Probe.Set:ILMN_1224472|Identifier:NM_013652.2|FirstOfLocuslink:NP_038680.1|FirstOfName:Ccl4|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:6.68014798674036e-12|ANOVA.CELL:1.9533802601296e-10|ANOVA.INT:0.0156960299849545|FDR_ANOVA.TREAT:1.95220982999841e-09|FDR_ANOVA.CELL:6.2371468177321e-10|FDR_ANOVA.INT:0.447099622779326|TTEST.ASTRO.DEX:6.58119621407944e-06|TTEST.ASTRO.ALD:0.017341741299130898|TTEST.ASTRO.DHT:0.47141880540116904|TTEST.ASTRO.PRG:0.5581411303806291|TTEST.ASTRO.ESR:0.949767728736528|TTEST.NEURO.DEX:0.000605686481380563|TTEST.NEURO.ALD:0.0850174547269536|TTEST.NEURO.DHT:0.7014065460166641|TTEST.NEURO.PRG:0.550239848799373|TTEST.NEURO.ESR:0.786468738710499|FDR_TTEST.ASTRO.DEX:0.00205753237625778|FDR_TTEST.ASTRO.ALD:0.49782592929863706|FDR_TTEST.ASTRO.DHT:0.9524333835731791|FDR_TTEST.ASTRO.PRG:0.9541221568947211|FDR_TTEST.ASTRO.ESR:0.998196346409513|FDR_TTEST.NEURO.DEX:0.44826947164339603|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-1.9082421875|FOLD.ASTRO.ALD:-0.386294270833334|FOLD.ASTRO.DHT:0.0790885416666676|FOLD.ASTRO.PRG:-0.0718567708333335|FOLD.ASTRO.ESR:0.006908854166667311|FOLD.NEURO.DEX:-0.9261276041666681|FOLD.NEURO.ALD:-0.2115546875|FOLD.NEURO.DHT:0.181072916666666|FOLD.NEURO.PRG:-0.0691406250000011|FOLD.NEURO.ESR:0.0387864583333322
6	Tst	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000044986	ENSMUST00000231525|ENSMUST00000058659	NM_009437	TST	Rhodanese	Regulation: DOWN|Probe.Set:ILMN_2493175|Identifier:NM_009437.4|FirstOfLocuslink:NP_033463.1|FirstOfName:Tst|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.07414622112453e-08|ANOVA.CELL:1.6564201521849e-41|ANOVA.INT:0.601796287616717|FDR_ANOVA.TREAT:2.9776627191716896e-06|FDR_ANOVA.CELL:8.277439838418329e-40|FDR_ANOVA.INT:0.9999978870935041|TTEST.ASTRO.DEX:0.0154599757346864|TTEST.ASTRO.ALD:0.28310212157263803|TTEST.ASTRO.DHT:0.5513595453279491|TTEST.ASTRO.PRG:0.49478022027384705|TTEST.ASTRO.ESR:0.8468179800856911|TTEST.NEURO.DEX:0.0007068171044806341|TTEST.NEURO.ALD:0.9969510849526381|TTEST.NEURO.DHT:0.251232609699161|TTEST.NEURO.PRG:0.0914151047047842|TTEST.NEURO.ESR:0.546000435289566|FDR_TTEST.ASTRO.DEX:0.22879773063250303|FDR_TTEST.ASTRO.ALD:0.8347349421762811|FDR_TTEST.ASTRO.DHT:0.9630856361452731|FDR_TTEST.ASTRO.PRG:0.945435697749136|FDR_TTEST.ASTRO.ESR:0.9930803567484661|FDR_TTEST.NEURO.DEX:0.44826947164339603|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.32163802083333304|FOLD.ASTRO.ALD:-0.11169010416666801|FOLD.ASTRO.DHT:-0.0559843750000013|FOLD.ASTRO.PRG:0.0745989583333309|FOLD.ASTRO.ESR:-0.0214505208333353|FOLD.NEURO.DEX:-0.35772916666666704|FOLD.NEURO.ALD:0.00013541666666583302|FOLD.NEURO.DHT:0.0519348958333339|FOLD.NEURO.PRG:0.0721640625000006|FOLD.NEURO.ESR:0.036911458333333896
7	2310005P05Rik	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000036611	ENSMUST00000156237|ENSMUST00000040677	NM_026189	EEPD1		Regulation: DOWN|Probe.Set:ILMN_2709179|Identifier:NM_026189.2|FirstOfLocuslink:None|FirstOfName:2310005P05Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.5092309757868596e-06|ANOVA.CELL:1.0789199450459499e-21|ANOVA.INT:0.0104124750369969|FDR_ANOVA.TREAT:0.00021696859752056702|FDR_ANOVA.CELL:6.413240157383079e-21|FDR_ANOVA.INT:0.34991675571928404|TTEST.ASTRO.DEX:0.0586601027387258|TTEST.ASTRO.ALD:0.0521822474166721|TTEST.ASTRO.DHT:0.20704119799754803|TTEST.ASTRO.PRG:0.66039187899147|TTEST.ASTRO.ESR:0.295432515738541|TTEST.NEURO.DEX:0.00135426893999696|TTEST.NEURO.ALD:0.30450322062129903|TTEST.NEURO.DHT:0.6822713061818181|TTEST.NEURO.PRG:0.975842904620235|TTEST.NEURO.ESR:0.511545068400852|FDR_TTEST.ASTRO.DEX:0.42483439441858406|FDR_TTEST.ASTRO.ALD:0.635197653479121|FDR_TTEST.ASTRO.DHT:0.9132682544287011|FDR_TTEST.ASTRO.PRG:0.9665892209927871|FDR_TTEST.ASTRO.ESR:0.9558446186724281|FDR_TTEST.NEURO.DEX:0.601992826055956|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.2720234375|FOLD.ASTRO.ALD:-0.250940104166666|FOLD.ASTRO.DHT:-0.13462239583333302|FOLD.ASTRO.PRG:-0.0628411458333318|FOLD.ASTRO.ESR:0.15869531250000102|FOLD.NEURO.DEX:-0.5501250000000011|FOLD.NEURO.ALD:-0.1207109375|FOLD.NEURO.DHT:0.047882812499999296|FOLD.NEURO.PRG:0.0033281249999994604|FOLD.NEURO.ESR:-0.0848541666666662
8	2810003C17Rik	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000001864	ENSMUST00000156564|ENSMUST00000001920|ENSMUST00000151276|ENSMUST00000128271|ENSMUST00000156743|ENSMUST00000140649|ENSMUST00000145137|ENSMUST00000148056|ENSMUST00000138833|ENSMUST00000125457	NM_145144	AIF1L		Regulation: DOWN|Probe.Set:ILMN_2741063|Identifier:NM_145144.1|FirstOfLocuslink:NP_660126.1|FirstOfName:2810003C17Rik|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:1.31648671798216e-12|ANOVA.CELL:1.4232852490183602e-15|ANOVA.INT:0.19291729370926802|FDR_ANOVA.TREAT:4.34196126543631e-10|FDR_ANOVA.CELL:5.90306054865477e-15|FDR_ANOVA.INT:0.9999978870935041|TTEST.ASTRO.DEX:0.00010917842512932801|TTEST.ASTRO.ALD:0.00666625553088787|TTEST.ASTRO.DHT:0.9149348238154421|TTEST.ASTRO.PRG:0.921313122855252|TTEST.ASTRO.ESR:0.512783641862216|TTEST.NEURO.DEX:0.00163182436850291|TTEST.NEURO.ALD:0.155600521223433|TTEST.NEURO.DHT:0.9316551567014231|TTEST.NEURO.PRG:0.6147574518265211|TTEST.NEURO.ESR:0.6952717916658351|FDR_TTEST.ASTRO.DEX:0.0120028680998133|FDR_TTEST.ASTRO.ALD:0.38535793651225403|FDR_TTEST.ASTRO.DHT:0.9927001572496811|FDR_TTEST.ASTRO.PRG:0.9942119291086231|FDR_TTEST.ASTRO.ESR:0.9740670702205491|FDR_TTEST.NEURO.DEX:0.666795207002243|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.675510416666667|FOLD.ASTRO.ALD:-0.20612239583333303|FOLD.ASTRO.DHT:-0.0101562499999996|FOLD.ASTRO.PRG:-0.0064895833333320505|FOLD.ASTRO.ESR:0.0606718750000006|FOLD.NEURO.DEX:-0.47904166666666503|FOLD.NEURO.ALD:-0.1401796875|FOLD.NEURO.DHT:0.005942708333334321|FOLD.NEURO.PRG:-0.0429192708333321|FOLD.NEURO.ESR:-0.0339973958333335
9	Arhgap25	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000030047	ENSMUST00000203559|ENSMUST00000101197|ENSMUST00000145128|ENSMUST00000113637|ENSMUST00000071024	NM_001286610|NM_001037727|NM_175476	ARHGAP25	A130039I20Rik	Regulation: DOWN|Probe.Set:ILMN_3155245|Identifier:NM_175476.3|FirstOfLocuslink:NP_780685.2|FirstOfName:Arhgap25|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.11142766682295e-11|ANOVA.CELL:1.07560770070346e-31|ANOVA.INT:0.00011981936779336301|FDR_ANOVA.TREAT:5.76882018271497e-09|FDR_ANOVA.CELL:1.4689473520343502e-30|FDR_ANOVA.INT:0.0110429929909995|TTEST.ASTRO.DEX:0.000253060859500256|TTEST.ASTRO.ALD:0.39608918192566|TTEST.ASTRO.DHT:0.142030588017963|TTEST.ASTRO.PRG:0.0800976747730062|TTEST.ASTRO.ESR:0.291410084512711|TTEST.NEURO.DEX:0.00167940627083288|TTEST.NEURO.ALD:0.64902330027468|TTEST.NEURO.DHT:0.136493026920217|TTEST.NEURO.PRG:0.07457086166680289|TTEST.NEURO.ESR:0.28626841481778803|FDR_TTEST.ASTRO.DEX:0.019974072011222|FDR_TTEST.ASTRO.ALD:0.8758271183907411|FDR_TTEST.ASTRO.DHT:0.9063307399332111|FDR_TTEST.ASTRO.PRG:0.85703128377737|FDR_TTEST.ASTRO.ESR:0.9558446186724281|FDR_TTEST.NEURO.DEX:0.6684905616330791|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.9322265625|FOLD.ASTRO.ALD:0.1459375|FOLD.ASTRO.DHT:0.21425260416666703|FOLD.ASTRO.PRG:0.242809895833334|FOLD.ASTRO.ESR:0.167117187500001|FOLD.NEURO.DEX:-0.257135416666666|FOLD.NEURO.ALD:0.0384270833333336|FOLD.NEURO.DHT:0.267442708333334|FOLD.NEURO.PRG:0.0817109375000005|FOLD.NEURO.ESR:0.11836979166666801
10	Fadd	4_neurons_dex_down_michkor_cells_dex	michkor-cells-dex	ENSMUSG00000031077	ENSMUST00000033394	NM_010175	FADD	Mort1/FADD	Regulation: DOWN|Probe.Set:ILMN_1223126|Identifier:NM_010175.4|FirstOfLocuslink:NP_034305.1|FirstOfName:Fadd|FirstOfFunction:NA|Description:NA|ANOVA.TREAT:2.31396285649883e-08|ANOVA.CELL:3.6595213503207007e-31|ANOVA.INT:0.0673183484690762|FDR_ANOVA.TREAT:3.2676955759188798e-06|FDR_ANOVA.CELL:4.72656612111072e-30|FDR_ANOVA.INT:0.8875949235325881|TTEST.ASTRO.DEX:4.91358800963101e-05|TTEST.ASTRO.ALD:0.0968473809319617|TTEST.ASTRO.DHT:0.7969434702112491|TTEST.ASTRO.PRG:0.995285972859513|TTEST.ASTRO.ESR:0.9431453805248681|TTEST.NEURO.DEX:0.0304357545697|TTEST.NEURO.ALD:0.0371856634771123|TTEST.NEURO.DHT:0.8997160097177671|TTEST.NEURO.PRG:0.9649593533970181|TTEST.NEURO.ESR:0.7251080065125001|FDR_TTEST.ASTRO.DEX:0.0075208864559327|FDR_TTEST.ASTRO.ALD:0.7051136813548411|FDR_TTEST.ASTRO.DHT:0.9841394384102481|FDR_TTEST.ASTRO.PRG:0.9998144893426231|FDR_TTEST.ASTRO.ESR:0.998196346409513|FDR_TTEST.NEURO.DEX:0.9999864087421151|FDR_TTEST.NEURO.ALD:0.9999126459558031|FDR_TTEST.NEURO.DHT:0.9999854347175571|FDR_TTEST.NEURO.PRG:0.9997888094014671|FDR_TTEST.NEURO.ESR:0.9999302920801281|FOLD.ASTRO.DEX:-0.47028645833333405|FOLD.ASTRO.ALD:-0.14066145833333502|FOLD.ASTRO.DHT:0.0197499999999984|FOLD.ASTRO.PRG:-0.000325520833333925|FOLD.ASTRO.ESR:0.0031927083333318502|FOLD.NEURO.DEX:-0.208986979166665|FOLD.NEURO.ALD:-0.0643671875000003|FOLD.NEURO.DHT:0.00733854166666603|FOLD.NEURO.PRG:0.00266145833333375|FOLD.NEURO.ESR:0.0195286458333328
